proposal_uid,source_type,source_group,title,global_nn_index,global_nn_proposal_uid,global_nn_source_type,global_nn_source_group,global_nn_distance,global_mean_5nn_distance,global_nn_same_source_type,global_nn_same_source_group,is_global_nn_outlier_top10,is_global_mean5nn_outlier_top10
y1::1,human,Human,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,69,persona::gemini-3.1-pro-preview::01,ai,Gemini,0.042994141578674316,0.05132519006729126,False,False,False,False
y1::10,human,Human,Transposable elements and the emergence of genomic innovation,78,persona::gemini-3.1-pro-preview::10,ai,Gemini,0.03813886642456055,0.04703718423843384,False,False,False,False
y1::11,human,Human,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,7,y1::5,human,Human,0.1415959596633911,0.16060881614685057,True,True,True,True
y1::12,human,Human,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,57,persona::gpt-5.5::12,ai,GPT,0.1614682674407959,0.18770724534988403,False,False,True,True
y1::2,human,Human,Elucidating genome structure-function relationships in human brain cells,70,persona::gemini-3.1-pro-preview::02,ai,Gemini,0.03295493125915527,0.03502929210662842,False,False,False,False
y1::3,human,Human,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,80,persona::gemini-3.1-pro-preview::12,ai,Gemini,0.03832042217254639,0.04594719409942627,False,False,False,False
y1::4,human,Human,Synthesizing gene expression data to create an atlas of bacterial cell states,45,persona::claude-sonnet-5::23,ai,Claude,0.09808230400085449,0.13106036186218262,False,False,False,False
y1::5,human,Human,Energetic Origins of Connectivity within Protein Interaction Networks,32,persona::claude-sonnet-5::10,ai,Claude,0.11730211973190308,0.1242659330368042,False,False,False,False
y1::6,human,Human,Elucidating emergent structures in cellular RNA-protein interaction networks,51,persona::gpt-5.5::06,ai,GPT,0.028615474700927734,0.029654943943023683,False,False,False,False
y1::7,human,Human,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,29,persona::claude-sonnet-5::07,ai,Claude,0.03946179151535034,0.042063343524932864,False,False,False,False
y1::8,human,Human,Multimodel single-cell frameworks for cell lines with extensive multi-omics data,30,persona::claude-sonnet-5::08,ai,Claude,0.03351384401321411,0.03459844589233398,False,False,False,False
y1::9,human,Human,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,16,y2::3,human,Human,0.11305588483810425,0.12746039628982545,True,True,False,False
y2::1,human,Human,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,35,persona::claude-sonnet-5::13,ai,Claude,0.023167729377746582,0.031091368198394774,False,False,False,False
y2::10,human,Human,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,35,persona::claude-sonnet-5::13,ai,Claude,0.03259176015853882,0.0362836480140686,False,False,False,False
y2::11,human,Human,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,68,persona::gpt-5.5::23,ai,GPT,0.18835926055908203,0.21676353216171265,False,False,True,True
y2::2,human,Human,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,17,y2::4,human,Human,0.03450590372085571,0.04218758344650268,True,True,False,False
y2::3,human,Human,Deciphering systemic biological networks through AI-driven multi-omic integration,76,persona::gemini-3.1-pro-preview::08,ai,Gemini,0.09730756282806396,0.12006391286849975,False,False,False,False
y2::4,human,Human,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,38,persona::claude-sonnet-5::16,ai,Claude,0.030757665634155273,0.03289682865142822,False,False,False,False
y2::5,human,Human,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,16,y2::3,human,Human,0.13951951265335083,0.17118196487426757,True,True,False,True
y2::6,human,Human,Revealing the Ontology of Allostery through Community-Scale Synthesis,35,persona::claude-sonnet-5::13,ai,Claude,0.025260329246520996,0.031120848655700684,False,False,False,False
y2::7,human,Human,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,87,persona::gemini-3.1-pro-preview::19,ai,Gemini,0.029817640781402588,0.03566005229949951,False,False,False,False
y2::8,human,Human,A Unified Framework for Analyses of Proteome Turnover Dynamics,65,persona::gpt-5.5::20,ai,GPT,0.0312647819519043,0.03232885599136352,False,False,False,False
y2::9,human,Human,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,45,persona::claude-sonnet-5::23,ai,Claude,0.145501971244812,0.1627137303352356,False,False,True,True
persona::claude-sonnet-5::01,ai,Claude,A Cross-Crop Data Synthesis of Circadian-Gated Vesicle Trafficking Nodes That Constrain Cytokinesis Under Heat Stress,16,y2::3,human,Human,0.17577272653579712,0.19646053314208983,False,False,True,True
persona::claude-sonnet-5::02,ai,Claude,"From Nucleosome Mechanics to Cell-Type Identity: A Multiscale Synthesis of Chromatin Polymer Physics, Condensate Biochemistry, and Single-Cell 3D Genomes to Explain Disease-Relevant Genome Folding in the Human Brain",59,persona::gpt-5.5::14,ai,GPT,0.027643561363220215,0.03490976095199585,True,False,False,False
persona::claude-sonnet-5::03,ai,Claude,Functional Redundancy as a Mesoscale Buffer: Synthesizing Ancient and Modern Metagenomes with Host Proteo-Genomic Atlases to Test the Stability of Microbiome-Host Molecular Modules,71,persona::gemini-3.1-pro-preview::03,ai,Gemini,0.03039085865020752,0.0405845046043396,True,False,False,False
persona::claude-sonnet-5::04,ai,Claude,Mapping the Coupling Between Regulatory Cell-State Transitions and Mesoscale Condensate Architecture Across the Bacterial Kingdom,49,persona::gpt-5.5::04,ai,GPT,0.029834508895874023,0.03165124654769898,True,False,False,False
persona::claude-sonnet-5::05,ai,Claude,Nonlinear Collapse of Protein Interaction Networks at Stability Thresholds: A Cross-Kingdom Synthesis of Deep Mutational Scanning and Interactome Data,73,persona::gemini-3.1-pro-preview::05,ai,Gemini,0.024405479431152344,0.03163002729415894,True,False,False,False
persona::claude-sonnet-5::06,ai,Claude,Sequence-to-Structure-to-Condensate: A Multi-Scale Synthesis Framework Linking RNA Secondary Structure Ensembles to Protein-RNA Condensate Composition and Emergent Material Properties,51,persona::gpt-5.5::06,ai,GPT,0.023217499256134033,0.029384279251098634,True,False,False,False
persona::claude-sonnet-5::07,ai,Claude,Decoding Environmental Selection Pressures on Condensate-Forming Sequence Grammars: A Multiscale Data Synthesis Across the Prokaryotic-to-Eukaryotic Thermal and Salinity Continuum,75,persona::gemini-3.1-pro-preview::07,ai,Gemini,0.02573162317276001,0.027160441875457762,True,False,False,False
persona::claude-sonnet-5::08,ai,Claude,"From Copy-Number Amplicons to Proteostatic Stress: A Multiscale Synthesis of 3D Genome Reorganization, Protein Complex Stoichiometry, and Cellular Fitness in Cancer Cell Lines",53,persona::gpt-5.5::08,ai,GPT,0.02077805995941162,0.02850978374481201,True,False,False,False
persona::claude-sonnet-5::09,ai,Claude,Cross-Scale Morphodynamic Grammar of Membrane-Bound Organelle Shape Change: Integrating Whole-Cell Volumetric Imaging with Cytoskeletal Agent-Based Simulations to Learn Generalizable Rules of Mesoscale Shape Transitions,54,persona::gpt-5.5::09,ai,GPT,0.023859798908233643,0.031343257427215575,True,False,False,False
persona::claude-sonnet-5::10,ai,Claude,Transposon-Seeded Cooperativity: Synthesizing Cross-Species Epigenomic Atlases to Test Whether Transposable Elements Drive the Emergence of Mesoscale Chromatin Hubs,55,persona::gpt-5.5::10,ai,GPT,0.05714899301528931,0.12161462306976319,True,False,False,False
persona::claude-sonnet-5::11,ai,Claude,Beyond Binary Interactions: Synthesizing Public Crosslinking Mass Spectrometry Data to Map Emergent Mesoscale Protein Assemblies Across Human Tissues,42,persona::claude-sonnet-5::20,ai,Claude,0.0251772403717041,0.027337563037872315,True,True,False,False
persona::claude-sonnet-5::12,ai,Claude,Closing the Genotype–Metabolite Gap: A Cross-Repository Synthesis Linking Microbial Genomic Potential to Untargeted Mass Spectrometry Signatures of Chemical Novelty,80,persona::gemini-3.1-pro-preview::12,ai,Gemini,0.0271415114402771,0.04097084999084473,True,False,False,False
persona::claude-sonnet-5::13,ai,Claude,"A Cross-Family Atlas of Emergent Allosteric Order Parameters: Synthesizing Structural Ensembles, Deep Mutational Scans, and Ancestral Sequence Data to Discover Universal Rules of Protein Regulation",12,y2::1,human,Human,0.023167729377746582,0.02814037799835205,False,False,False,False
persona::claude-sonnet-5::14,ai,Claude,"Entanglement as an Emergent Design Constraint: Cross-Scale Synthesis of Protein Topology, Translation Kinetics, and Proteostasis Networks",55,persona::gpt-5.5::10,ai,GPT,0.10126107931137085,0.13999131917953492,True,False,False,False
persona::claude-sonnet-5::15,ai,Claude,"Nucleolar Condensate Scaling Laws as a Mesoscale Determinant of Ribosome Biogenesis Capacity and Skeletal Muscle Hypertrophy: A Multi-Omic, GPU-Accelerated Synthesis",83,persona::gemini-3.1-pro-preview::15,ai,Gemini,0.03390371799468994,0.03680163621902466,True,False,False,False
persona::claude-sonnet-5::16,ai,Claude,"A Cross-Species Physical Grammar Atlas: Testing Whether Conserved Polymer Physics, Not Conserved Sequence, Governs Emergent Condensate Material Properties",29,persona::claude-sonnet-5::07,ai,Claude,0.02633446455001831,0.028307950496673583,True,True,False,False
persona::claude-sonnet-5::17,ai,Claude,Emergent Mesoscale Regulation of Torpor: A Cross-Species Synthesis of Biomolecular Condensates and Mitochondrial Reorganization in Independently Evolved Hibernators,57,persona::gpt-5.5::12,ai,GPT,0.15570968389511108,0.1861342668533325,True,False,True,True
persona::claude-sonnet-5::18,ai,Claude,"From Residue Couplings to Circuit Memory: A Cross-Scale Synthesis Linking Coevolutionary Statistics, Allosteric Dynamics, and Phase-Separation Propensity to Regulatory Network Hysteresis",49,persona::gpt-5.5::04,ai,GPT,0.02532362937927246,0.02832179069519043,True,False,False,False
persona::claude-sonnet-5::19,ai,Claude,"Flux, Function, and Fitness: A Cross-Species Synthesis Linking Genome-Scale Metabolic Network Architecture to Signatures of Natural Selection",87,persona::gemini-3.1-pro-preview::19,ai,Gemini,0.029549837112426758,0.03426271677017212,True,False,False,False
persona::claude-sonnet-5::20,ai,Claude,"Mesoscale Coordination of Proteome Turnover: Synthesizing Public Degradation Kinetics with Complex, Condensate, and Disorder Architecture to Discover Emergent Proteostasis Modules",33,persona::claude-sonnet-5::11,ai,Claude,0.0251772403717041,0.030450844764709474,True,True,False,False
persona::claude-sonnet-5::21,ai,Claude,From Transcript Counts to Molecular Choreography: A Bayesian Synthesis Framework Linking Spatial Expression Atlases to Single-Molecule Biophysical States of Trafficking Machinery,66,persona::gpt-5.5::21,ai,GPT,0.03336465358734131,0.036187171936035156,True,False,False,False
persona::claude-sonnet-5::22,ai,Claude,From Chemical Marks to Mesoscale Machines: A Multi-Omics and Molecular Dynamics Synthesis of How tRNA Modification Loss Drives Ribosome Collision Condensates and Translational Stress Phenotypes,51,persona::gpt-5.5::06,ai,GPT,0.02857804298400879,0.03110370635986328,True,False,False,False
persona::claude-sonnet-5::23,ai,Claude,Decoding the 'Organelle Signature' Landscape: A Genomic Deconvolution Framework for Discovering Novel Protein- and Lipid-Bounded Compartments Across Bacteria and Archaea,6,y1::4,human,Human,0.09808230400085449,0.14815402030944824,False,False,False,False
persona::gpt-5.5::01,ai,GPT,Circadian Control of Heat-Sensitive Mesoscale Assembly During Plant Cell Division,16,y2::3,human,Human,0.15599709749221802,0.17636121511459352,False,False,True,True
persona::gpt-5.5::02,ai,GPT,Cross-Scale Synthesis of Emergent Chromatin Microenvironments in Human Brain Cell Types,4,y1::2,human,Human,0.03361731767654419,0.03765715360641479,False,False,False,False
persona::gpt-5.5::03,ai,GPT,Contamination-Aware Synthesis of Microbiome Functional Modules Linked to Emergent Human Proteome and Metabolome States,25,persona::claude-sonnet-5::03,ai,Claude,0.03120565414428711,0.0401442289352417,True,False,False,False
persona::gpt-5.5::04,ai,GPT,"Predicting Emergent Mesoscale Organization in Bacteria from Public Multi-Omics, Sequence Features, and Cellular Phenotypes",40,persona::claude-sonnet-5::18,ai,Claude,0.02532362937927246,0.029502105712890626,True,False,False,False
persona::gpt-5.5::05,ai,GPT,Predicting Emergent Proteostasis Network Rewiring from the Energetic Landscapes of Human Membrane Protein Variants,73,persona::gemini-3.1-pro-preview::05,ai,Gemini,0.02025449275970459,0.026312506198883055,True,False,False,False
persona::gpt-5.5::06,ai,GPT,"A Multiscale Atlas Linking RNA-Protein Binding Grammar to Condensate Identity, Dynamics, and Cellular Routing",28,persona::claude-sonnet-5::06,ai,Claude,0.023217499256134033,0.026109719276428224,True,False,False,False
persona::gpt-5.5::07,ai,GPT,A Cross-Kingdom Atlas of Sequence-to-Mesoscale Rules for Stress-Responsive Biomolecular Condensates,51,persona::gpt-5.5::06,ai,GPT,0.024326622486114502,0.026742660999298097,True,True,False,False
persona::gpt-5.5::08,ai,GPT,Mapping Emergent Drug-Tolerant Cell States from Extrachromosomal DNA and 3D Regulatory Architecture in Cancer Cell Lines,30,persona::claude-sonnet-5::08,ai,Claude,0.02077805995941162,0.029860329627990723,True,False,False,False
persona::gpt-5.5::09,ai,GPT,A Public Multimodal Atlas for Predicting Cytoskeletal Control of Cellular Architecture and Ciliary State,66,persona::gpt-5.5::21,ai,GPT,0.023592472076416016,0.02651970386505127,True,True,False,False
persona::gpt-5.5::10,ai,GPT,Emergent Regulatory Neighborhoods from Transposable-Element-Derived Transcription Factor Grammar Across Mammalian Cell States,32,persona::claude-sonnet-5::10,ai,Claude,0.05714899301528931,0.1235154390335083,True,False,False,False
persona::gpt-5.5::11,ai,GPT,A Residue-Resolved Public Data Atlas of Emergent Human Protein Assemblies,79,persona::gemini-3.1-pro-preview::11,ai,Gemini,0.025117039680480957,0.030284011363983156,True,False,False,False
persona::gpt-5.5::12,ai,GPT,"Emergent Microbial Chemical Phenotypes from Public Metagenomic, Proteomic, and Untargeted Mass Spectrometry Data",76,persona::gemini-3.1-pro-preview::08,ai,Gemini,0.1398608684539795,0.14394681453704833,True,False,True,False
persona::gpt-5.5::13,ai,GPT,A Public-Data Atlas of Collective Allosteric State Variables Linking Nuclear Receptor Ligands to Transcriptional Phenotypes,63,persona::gpt-5.5::18,ai,GPT,0.1375114917755127,0.1453960657119751,True,True,False,False
persona::gpt-5.5::14,ai,GPT,From Entangled Proteins to Entangled Genomes: A Synthesis Framework Linking Molecular Topology of Chromatin Regulators to Emergent 3D Genome Organization,82,persona::gemini-3.1-pro-preview::14,ai,Gemini,0.025268852710723877,0.029287838935852052,True,False,False,False
persona::gpt-5.5::15,ai,GPT,"Emergent Translational Reserve as a Multiscale Determinant of Skeletal Muscle Growth, Repair, and Inflammatory Failure",65,persona::gpt-5.5::20,ai,GPT,0.020927071571350098,0.02971515655517578,True,True,False,False
persona::gpt-5.5::16,ai,GPT,A Public Data Atlas Linking Disordered-Region Sequence Grammar to Emergent Condensate Material States,84,persona::gemini-3.1-pro-preview::16,ai,Gemini,0.024283289909362793,0.028702306747436523,True,False,False,False
persona::gpt-5.5::17,ai,GPT,A Comparative Multi-Omics Atlas of Reversible Metabolic Suppression Across Mammalian Hibernators,85,persona::gemini-3.1-pro-preview::17,ai,Gemini,0.034269094467163086,0.03857783079147339,True,False,False,False
persona::gpt-5.5::18,ai,GPT,Predicting Condensate-Scale Emergence from Evolutionary and Structural Coupling Networks in Multivalent Proteins,68,persona::gpt-5.5::23,ai,GPT,0.13171011209487915,0.14107969999313355,True,True,False,False
persona::gpt-5.5::19,ai,GPT,Evolutionary Discovery of Metabolic Network Modules that Generate Mesoscale Membrane and Organelle Organization,26,persona::claude-sonnet-5::04,ai,Claude,0.030520915985107422,0.03200030326843262,True,False,False,False
persona::gpt-5.5::20,ai,GPT,Proteome Flux Codes for Emergent Mesoscale Remodeling During Cellular Stress and Disease,60,persona::gpt-5.5::15,ai,GPT,0.020927071571350098,0.028537464141845704,True,True,False,False
persona::gpt-5.5::21,ai,GPT,Inferring Conserved Mesoscale Kinetic Programs from Public Spatial Omics and Fluorescence Microscopy Atlases,54,persona::gpt-5.5::09,ai,GPT,0.023592472076416016,0.027671241760253908,True,True,False,False
persona::gpt-5.5::22,ai,GPT,Emergent Chromatin and Immune Cell States from tRNA Modification–Controlled Translation Dynamics,11,y1::9,human,Human,0.17153382301330566,0.18281553983688353,False,False,True,True
persona::gpt-5.5::23,ai,GPT,A Public-Data Atlas of Emergent Metal-Redox Compartmentalization Across Bacteria and Archaea,7,y1::5,human,Human,0.12057697772979736,0.12840816974639893,False,False,False,False
persona::gemini-3.1-pro-preview::01,ai,Gemini,Decoding Cytokinetic Resilience: Synthesizing Context-Specific Multi-Omic Networks to Understand Mesoscale Emergence Under Thermal Stress,0,y1::1,human,Human,0.042994141578674316,0.04715801477432251,False,False,False,False
persona::gemini-3.1-pro-preview::02,ai,Gemini,Decoding Mesoscale Emergence in the 3D Genome: Synthesizing Multi-Omic and Polymer Physics Data to Uncover IDP-Driven Chromatin Reorganization in Neuro-Immune Phenotypes,90,persona::gemini-3.1-pro-preview::22,ai,Gemini,0.02689826488494873,0.030070817470550536,True,True,False,False
persona::gemini-3.1-pro-preview::03,ai,Gemini,Mapping Emergent Mesoscale Architectures at the Host-Microbiome Interface: A Deep-Time Proteogenomic Synthesis,25,persona::claude-sonnet-5::03,ai,Claude,0.03039085865020752,0.03522591590881348,True,False,False,False
persona::gemini-3.1-pro-preview::04,ai,Gemini,Mapping the Emergent Bacterial Condensome: Synthesizing Transcriptomic and Biophysical Data to Predict Mesoscale Organization in Pathogenesis and Stress Adaptation,75,persona::gemini-3.1-pro-preview::07,ai,Gemini,0.027306437492370605,0.02966982126235962,True,True,False,False
persona::gemini-3.1-pro-preview::05,ai,Gemini,Emergent Mesoscale Dynamics from Molecular Thermodynamics: Synthesizing Protein Mutational Landscapes and Single-Cell Interactomes,50,persona::gpt-5.5::05,ai,GPT,0.02025449275970459,0.028946495056152342,True,False,False,False
persona::gemini-3.1-pro-preview::06,ai,Gemini,Decoding the Structural and Network Grammar of RNA-Driven Emergence in Biomolecular Condensates,82,persona::gemini-3.1-pro-preview::14,ai,Gemini,0.02951812744140625,0.03146795034408569,True,True,False,False
persona::gemini-3.1-pro-preview::07,ai,Gemini,Decoding the Mesoscale Molecular Grammar: Synthesizing Physical Principles of Condensate Ultrastructure and Emulsion Stability,29,persona::claude-sonnet-5::07,ai,Claude,0.02573162317276001,0.028600621223449706,True,False,False,False
