title,group,centroid_dist
CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Human,0.053881049156188965
Elucidating genome structure-function relationships in human brain cells,Human,0.031852006912231445
MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Human,0.04659080505371094
Synthesizing gene expression data to create an atlas of bacterial cell states,Human,0.04662489891052246
Energetic Origins of Connectivity within Protein Interaction Networks,Human,0.03545582294464111
Elucidating emergent structures in cellular RNA-protein interaction networks,Human,0.02573949098587036
Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,Human,0.02732837200164795
Multimodel single-cell frameworks for cell lines with extensive multi-omics data,Human,0.044200241565704346
From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,Human,0.020046234130859375
Transposable elements and the emergence of genomic innovation,Human,0.026824951171875
Searching the crosslinking mass spectrometry universe for new protein-protein interactions,Human,0.02881324291229248
Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,Human,0.04513108730316162
Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Human,0.03147709369659424
From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Human,0.0327533483505249
Deciphering systemic biological networks through AI-driven multi-omic integration,Human,0.024264216423034668
Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,Human,0.02304232120513916
Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,Human,0.035247623920440674
Revealing the Ontology of Allostery through Community-Scale Synthesis,Human,0.024843990802764893
SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,Human,0.02640366554260254
A Unified Framework for Analyses of Proteome Turnover Dynamics,Human,0.01839500665664673
Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,Human,0.02577841281890869
Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,Human,0.034597039222717285
Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Human,0.029447734355926514
A Cross-Cell-Type Atlas of Biomolecular Condensate Material States and Their Emergent Control of Gene Expression Noise,gpt-5.2,0.010195255279541016
"Emergent Membrane Curvature Codes: Synthesizing Cryo-ET, Proteomics, and Lipidomics to Predict Organelle Contact Site Morphologies",gpt-5.2,0.00835871696472168
Mesoscale Cytoskeletal Percolation: A Synthesis of Actin/Microtubule Network Architecture and Emergent Intracellular Transport Efficiency,gpt-5.2,0.008417189121246338
"Emergent Chromatin Nanodomain Topology: Integrating Hi-C, Super-Resolution Imaging, and Epigenomics to Explain Cell-Type-Specific Gene Regulation",gpt-5.2,0.014564275741577148
"Protein Crowding as an Emergent Mesoscale Regulator: A Pan-Proteome Synthesis of Cytoplasmic Viscosity, Diffusion, and Reaction Rates",gpt-5.2,0.008231163024902344
"Emergent Ribosome Assembly Landscapes: Integrating Cryo-EM Intermediates, rRNA Processing Maps, and Proteomics to Explain Assembly Robustness",gpt-5.2,0.010282158851623535
"Mesoscale Signaling Microclusters as Emergent Computation: A Synthesis of Immune Receptor Imaging, Phosphoproteomics, and Single-Cell Responses",gpt-5.2,0.008257389068603516
"Emergent Mitochondrial Cristae Morphodynamics: Integrating Cryo-ET, Live Imaging, and Proteogenomics to Explain Bioenergetic Plasticity",gpt-5.2,0.011755108833312988
Mesoscale Assembly of Viral Replication Compartments: A Cross-Virus Synthesis of Host Factor Recruitment and Emergent Replication Efficiency,gpt-5.2,0.013971388339996338
"Emergent Cell Wall Nanomechanics: Synthesizing Fungal and Plant Cell Wall Composition, Ultrastructure, and Growth Patterns",gpt-5.2,0.015752792358398438
"Mesoscale Proteasome and Autophagy Hub Organization: Integrating Spatial Proteomics, Imaging, and Ubiquitinome Data to Explain Proteostasis Emergence",gpt-5.2,0.010050773620605469
"Emergent Bacterial Microcompartment Design Rules: Synthesizing Genomes, Structures, and Metabolic Flux to Predict Organelle-Like Function",gpt-5.2,0.012881994247436523
Mesoscale Vesicle Coat Self-Organization: Integrating Structural Proteomics and Imaging to Explain Cargo Selectivity Emergence,gpt-5.2,0.008473873138427734
"Emergent Nuclear Pore Selectivity at the Mesoscale: A Synthesis of FG-Nup Disorder, Transport Kinetics, and NPC Ultrastructure",gpt-5.2,0.008288860321044922
"Mesoscale Emergence in Bacterial Biofilm Matrix Nanostructure: Integrating Omics, Imaging, and Rheology to Predict Community Robustness",gpt-5.2,0.012182116508483887
"Emergent Spliceosome Nano-Organization: Integrating RNP Structural States, Proximity Proteomics, and Single-Cell Isoform Variability",gpt-5.2,0.011610805988311768
Mesoscale Organization of Metabolic Enzyme Filaments: A Cross-Species Synthesis of Cytoophidia and Emergent Metabolic Regulation,gpt-5.2,0.006704807281494141
Emergent Endocytic Pit Nanoscale Heterogeneity: Integrating Single-Molecule Imaging and Proteomics to Explain Uptake Variability,gpt-5.2,0.009074687957763672
"Mesoscale Emergence of Synaptic Active Zone Nanoclusters: A Synthesis of Proteomics, Super-Resolution Maps, and Functional Plasticity",gpt-5.2,0.009438514709472656
Emergent Organelle Size Control via Mesoscale Substructure: Integrating Imaging Atlases and Omics to Explain Scaling Laws,gpt-5.2,0.008331120014190674
"Mesoscale Emergence in DNA Damage Repair Foci: Integrating Live Imaging, Proteomics, and 3D Genome Context",gpt-5.2,0.010783553123474121
"Emergent Mesoscale Patterning in Bacterial Division Machinery: A Synthesis of FtsZ Ring Architecture, Dynamics, and Cell Shape Outcomes",gpt-5.2,0.011515140533447266
"Mesoscale Emergence of Exosome Biogenesis Microdomains: Integrating Endosomal Proteomics, Lipidomics, and Imaging",gpt-5.2,0.00915747880935669
Deciphering the Sequence Grammar of Mesoscale Viscoelasticity in Biomolecular Condensates,gemini-3-pro-preview,0.017837882041931152
Emergent Chromatin Rheology: Synthesizing 1D Sequence and 3D Topology to Predict Nuclear Stiffness,gemini-3-pro-preview,0.015407800674438477
The Emergence of Metabolic Channeling: Mapping Transient Metabolons via Integrated Interactomics,gemini-3-pro-preview,0.6791567802429199
Lipid Raft Dynamics and the Emergence of Signal Fidelity in T-Cell Activation,gemini-3-pro-preview,0.014160335063934326
Emergent Mechanics of the Cytoskeleton: From Molecular Motors to Cellular Tensegrity,gemini-3-pro-preview,0.013723909854888916
Viral Capsid Polymorphism: Emergent Geometry from Identical Subunits,gemini-3-pro-preview,0.019351840019226074
The Emergence of Synaptic Memory: Nanocolumns and PSD Stability,gemini-3-pro-preview,0.022472262382507324
Emergent Selectivity in the Nuclear Pore Complex: A Data-Driven Transport Model,gemini-3-pro-preview,0.017745554447174072
Mitochondrial Cristae Morphodynamics and the Emergence of Bioenergetic Efficiency,gemini-3-pro-preview,0.027233123779296875
Ribosome Collisions and the Emergence of Translational Quality Control,gemini-3-pro-preview,0.01891016960144043
Emergent Synchronization in Ciliary Arrays: Hydrodynamics and Coupling,gemini-3-pro-preview,0.017899036407470703
The Extracellular Matrix as a Mechanical Memory: Emergent Reciprocity in Tissue Homeostasis,gemini-3-pro-preview,0.0193403959274292
