global_index,group,title,mean_lit_nn_dist_k5,is_outlier_literature_space,threshold_literature_space
0,Human,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,0.17395,1,0.15247251093387604
1,Human,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,0.0864595,0,0.15247251093387604
2,Human,Deciphering systemic biological networks through AI-driven multi-omic integration,0.088499345,0,0.15247251093387604
3,Human,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,0.08229755,0,0.15247251093387604
4,Human,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,0.15977558,1,0.15247251093387604
5,Human,Revealing the Ontology of Allostery through Community-Scale Synthesis,0.07889459,0,0.15247251093387604
6,Human,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,0.09321525,0,0.15247251093387604
7,Human,A Unified Framework for Analyses of Proteome Turnover Dynamics,0.14835276,0,0.15247251093387604
8,Human,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,0.09129419,0,0.15247251093387604
9,Human,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,0.09065145,0,0.15247251093387604
10,Human,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,0.20168848,1,0.15247251093387604
11,Human,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,0.13410126,0,0.15247251093387604
12,Human,Elucidating genome structure-function relationships in human brain cells,0.081713475,0,0.15247251093387604
13,Human,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,0.2323399,1,0.15247251093387604
14,Human,Synthesizing gene expression data to create an atlas of bacterial cell states,0.12914594,0,0.15247251093387604
15,Human,Energetic Origins of Connectivity within Protein Interaction Networks,0.086813346,0,0.15247251093387604
16,Human,Elucidating emergent structures in cellular RNA-protein interaction networks,0.14037631,0,0.15247251093387604
17,Human,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,0.084357284,0,0.15247251093387604
18,Human,Multimodel single-cell frameworks for cell lines with extensive multi-omics data,0.07552278,0,0.15247251093387604
19,Human,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,0.08544767,0,0.15247251093387604
20,Human,Transposable elements and the emergence of genomic innovation,0.14019398,0,0.15247251093387604
21,Human,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,0.22423577,1,0.15247251093387604
22,Human,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,0.1607723,1,0.15247251093387604
23,gpt-5.2,A Cross-Modal Synthesis of Biomolecular Condensate Material Properties and Cellular Function Across Species and Perturbations,0.088488184,0,0.15247251093387604
24,gpt-5.2,"Emergent Principles of Organelle Contact Sites: A Synthesis of Proteomics, Imaging, and Genetic Interaction Data",0.1428733,0,0.15247251093387604
25,gpt-5.2,"A Pan-Cell Atlas of Cytoskeletal Self-Organization: Integrating Live-Cell Imaging, Proteomics, and Biophysical Models",0.08368294,0,0.15247251093387604
26,gpt-5.2,"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function",0.08934035,0,0.15247251093387604
27,gpt-5.2,"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",0.1676471,1,0.15247251093387604
28,gpt-5.2,"Mesoscale Metabolic Channeling: Synthesizing Spatial Proteomics, Metabolomics, and Enzyme Complex Data to Map Functional Microdomains",0.093844675,0,0.15247251093387604
29,gpt-5.2,Emergent Robustness in Gene Regulatory Networks: A Synthesis of Single-Cell Perturbation Atlases Across Cell Types,0.09287582,0,0.15247251093387604
30,gpt-5.2,"A Community Synthesis of Mesoscale Protein Quality Control: Integrating Proteostasis Networks, Aggregation Data, and Stress Responses",0.088179745,0,0.15247251093387604
31,gpt-5.2,"Emergent Cell Polarity from Molecular Interactions: Synthesizing Spatial Transcriptomics, Proteomics, and Imaging Across Epithelia",0.13649979,0,0.15247251093387604
32,gpt-5.2,"A Synthesis of Mitochondrial Network Emergence: Linking Morphodynamics, Proteostasis, and Bioenergetics Across Cell Types",0.09143536,0,0.15247251093387604
33,gpt-5.2,"Emergent Signaling Specificity: Integrating Single-Cell Phospho-Proteomics, Kinase Networks, and Imaging to Decode Pathway Crosstalk",0.08390113,0,0.15247251093387604
34,gpt-5.2,A Comparative Synthesis of Ribosome Heterogeneity and Specialized Translation Across Tissues and Stress Conditions,0.09109583,0,0.15247251093387604
35,gpt-5.2,"Emergent Properties of Membrane Microdomains: Integrating Lipidomics, Proteomics, and Super-Resolution Imaging of Raft-Like Assemblies",0.1470585,0,0.15247251093387604
36,gpt-5.2,A Multi-Scale Synthesis of Endocytic Trafficking Emergence: From Coat Assembly to Organelle Identity,0.090818845,0,0.15247251093387604
37,gpt-5.2,"Emergent Control of Cell Cycle Transitions: Integrating Single-Cell Time Series, Proteomics, and Perturbation Screens",0.0954475,0,0.15247251093387604
38,gpt-5.2,"A Synthesis of Nuclear Body Emergence: Integrating Proteomics, RNA Localization, and Imaging of Speckles, Nucleoli, and PML Bodies",0.08958755,0,0.15247251093387604
