proposal_uid,title,group_model,group_binary,mean_knn_10,element_novel_0,novelty_z,is_lit_outlier_mean10,is_lit_outlier_element0,is_lit_outlier_z
P_000,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Human,Human,0.11662352,0.09539056,0.26381087,False,False,False
P_001,Elucidating genome structure-function relationships in human brain cells,Human,Human,0.0701947,0.059598863,0.5193888,False,False,False
P_002,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Human,Human,0.20822498,0.19953269,3.3628433,True,True,True
P_003,Synthesizing gene expression data to create an atlas of bacterial cell states,Human,Human,0.1261162,0.117226124,0.7652062,False,False,False
P_004,Energetic Origins of Connectivity within Protein Interaction Networks,Human,Human,0.076189235,0.069492996,0.48503834,False,False,False
P_005,Elucidating emergent structures in cellular RNA-protein interaction networks,Human,Human,0.12794226,0.11631,1.0814463,False,False,False
P_006,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,Human,Human,0.08041087,0.0688501,0.84676045,False,False,False
P_007,Multimodel single-cell frameworks for cell lines with extensive multi-omics data,Human,Human,0.06814284,0.06411463,0.37674573,False,False,False
P_008,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,Human,Human,0.07142203,0.05292654,0.42575136,False,False,False
P_009,Transposable elements and the emergence of genomic innovation,Human,Human,0.1248623,0.11489445,0.5895637,False,False,False
P_010,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,Human,Human,0.19636524,0.16842824,2.6084018,True,True,True
P_011,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,Human,Human,0.14158592,0.12719798,2.0719402,True,True,True
P_012,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Human,Human,0.14952275,0.13607126,1.8827541,True,True,True
P_013,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Human,Human,0.084194854,0.07906866,0.93035215,False,False,False
P_014,Deciphering systemic biological networks through AI-driven multi-omic integration,Human,Human,0.076225854,0.06924254,0.48351446,False,False,False
P_015,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,Human,Human,0.07457967,0.065163136,0.35746586,False,False,False
P_016,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,Human,Human,0.13189682,0.1203745,1.2855821,False,False,True
P_017,Revealing the Ontology of Allostery through Community-Scale Synthesis,Human,Human,0.079803966,0.0711503,0.65931505,False,False,False
P_018,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,Human,Human,0.077910855,0.072574854,0.3275154,False,False,False
P_019,A Unified Framework for Analyses of Proteome Turnover Dynamics,Human,Human,0.1323032,0.11760408,0.9926955,False,False,False
P_020,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,Human,Human,0.076769814,0.06267691,0.69326586,False,False,False
P_021,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,Human,Human,0.07731442,0.07215512,0.62247306,False,False,False
P_022,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Human,Human,0.18217297,0.15574539,2.536233,True,True,True
P_023,A Cross-Modal Synthesis of Biomolecular Condensate Material Properties and Cellular Function Across Species and Perturbations,gpt-5.2,AI,0.07966118,0.06692189,0.6347017,False,False,False
P_024,"Emergent Principles of Organelle Contact Sites: A Synthesis of Proteomics, Imaging, and Genetic Interaction Data",gpt-5.2,AI,0.12171394,0.114569485,0.70973,False,False,False
P_025,"A Pan-Cell Atlas of Cytoskeletal Self-Organization: Integrating Live-Cell Imaging, Proteomics, and Biophysical Models",gpt-5.2,AI,0.07057537,0.058620453,0.37893784,False,False,False
P_026,"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function",gpt-5.2,AI,0.073897496,0.06098157,0.501543,False,False,False
P_027,"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",gpt-5.2,AI,0.1444057,0.12540555,1.3025612,True,True,True
P_028,"Mesoscale Metabolic Channeling: Synthesizing Spatial Proteomics, Metabolomics, and Enzyme Complex Data to Map Functional Microdomains",gpt-5.2,AI,0.08014403,0.06838894,0.70065624,False,False,False
P_029,Emergent Robustness in Gene Regulatory Networks: A Synthesis of Single-Cell Perturbation Atlases Across Cell Types,gpt-5.2,AI,0.07826574,0.07262099,0.76841366,False,False,False
P_030,"A Community Synthesis of Mesoscale Protein Quality Control: Integrating Proteostasis Networks, Aggregation Data, and Stress Responses",gpt-5.2,AI,0.07817003,0.06172824,0.6944464,False,False,False
P_031,"Emergent Cell Polarity from Molecular Interactions: Synthesizing Spatial Transcriptomics, Proteomics, and Imaging Across Epithelia",gpt-5.2,AI,0.12421463,0.10861772,1.2521852,False,False,False
P_032,"A Synthesis of Mitochondrial Network Emergence: Linking Morphodynamics, Proteostasis, and Bioenergetics Across Cell Types",gpt-5.2,AI,0.07552455,0.059218884,0.7426299,False,False,False
P_033,"Emergent Signaling Specificity: Integrating Single-Cell Phospho-Proteomics, Kinase Networks, and Imaging to Decode Pathway Crosstalk",gpt-5.2,AI,0.07961599,0.0672732,0.7649249,False,False,False
P_034,A Comparative Synthesis of Ribosome Heterogeneity and Specialized Translation Across Tissues and Stress Conditions,gpt-5.2,AI,0.08038507,0.07432717,0.9258153,False,False,False
P_035,"Emergent Properties of Membrane Microdomains: Integrating Lipidomics, Proteomics, and Super-Resolution Imaging of Raft-Like Assemblies",gpt-5.2,AI,0.13709974,0.13142586,1.5722146,True,True,True
