proposal_uid,title,group_model,group_binary,mean_knn_10,lit_local_density_10,novelty_ratio,novelty_z
P_000,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Human,Human,0.12170682,0.10254053,1.1869143,0.6768934
P_001,Elucidating genome structure-function relationships in human brain cells,Human,Human,0.07870462,0.065106675,1.2088563,0.4802368
P_002,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Human,Human,0.18540165,0.11332123,1.6360716,2.545655
P_003,Synthesizing gene expression data to create an atlas of bacterial cell states,Human,Human,0.15893051,0.14595398,1.0889083,0.45829034
P_004,Energetic Origins of Connectivity within Protein Interaction Networks,Human,Human,0.16487089,0.1229504,1.3409545,1.4805006
P_005,Elucidating emergent structures in cellular RNA-protein interaction networks,Human,Human,0.078638054,0.060234826,1.3055247,0.6499445
P_006,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,Human,Human,0.086902946,0.067289546,1.2914777,0.69268394
P_007,Multimodel single-cell frameworks for cell lines with extensive multi-omics data,Human,Human,0.07978029,0.056173097,1.4202579,0.8337321
P_008,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,Human,Human,0.07187779,0.06194065,1.1604301,0.35094875
P_009,Transposable elements and the emergence of genomic innovation,Human,Human,0.16772826,0.15136935,1.1080729,0.5777456
P_010,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,Human,Human,0.13582167,0.1311819,1.035369,0.16386232
P_011,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,Human,Human,0.16355732,0.1358894,1.2036062,0.97714454
P_012,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Human,Human,0.07894598,0.06413831,1.230871,0.5229606
P_013,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Human,Human,0.07951777,0.068563886,1.1597617,0.3868568
P_014,Deciphering systemic biological networks through AI-driven multi-omic integration,Human,Human,0.09159503,0.0643976,1.422336,0.9605281
P_015,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,Human,Human,0.15566921,0.12931187,1.2038276,0.93085873
P_016,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,Human,Human,0.16428904,0.1205096,1.3632859,1.5461528
P_017,Revealing the Ontology of Allostery through Community-Scale Synthesis,Human,Human,0.0861529,0.06562092,1.3128877,0.72512513
P_018,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,Human,Human,0.13479471,0.12965286,1.0396587,0.18159421
P_019,A Unified Framework for Analyses of Proteome Turnover Dynamics,Human,Human,0.08948324,0.064552106,1.3862172,0.88048965
P_020,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,Human,Human,0.11355177,0.11449699,0.9917446,-0.03338214
P_021,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,Human,Human,0.07491176,0.06239276,1.2006483,0.44213185
P_022,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Human,Human,0.085118316,0.07343536,1.1590917,0.41260552
P_023,A Cross-Modal Synthesis of Biomolecular Condensate Material Properties and Cellular Function Across Species and Perturbations,GPT-5.2,AI,0.07843316,0.06540161,1.1992543,0.46023357
P_024,"Emergent Principles of Organelle Contact Sites: A Synthesis of Proteomics, Imaging, and Genetic Interaction Data",GPT-5.2,AI,0.083020024,0.062649526,1.3251501,0.7194223
P_025,"A Pan-Cell Atlas of Cytoskeletal Self-Organization: Integrating Live-Cell Imaging, Proteomics, and Biophysical Models",GPT-5.2,AI,0.07769338,0.06760039,1.1493037,0.3564528
P_026,"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function",GPT-5.2,AI,0.07438688,0.06584163,1.129785,0.3017915
P_027,"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",GPT-5.2,AI,0.096188806,0.11670949,0.8241729,-0.7247265
P_028,"Mesoscale Metabolic Channeling: Synthesizing Spatial Proteomics, Metabolomics, and Enzyme Complex Data to Map Functional Microdomains",GPT-5.2,AI,0.09088393,0.06408091,1.4182684,0.94659895
P_029,Emergent Robustness in Gene Regulatory Networks: A Synthesis of Single-Cell Perturbation Atlases Across Cell Types,GPT-5.2,AI,0.10944166,0.102413915,1.068621,0.24819797
P_030,"A Community Synthesis of Mesoscale Protein Quality Control: Integrating Proteostasis Networks, Aggregation Data, and Stress Responses",GPT-5.2,AI,0.11236365,0.12437017,0.9034614,-0.42403278
P_031,"Emergent Cell Polarity from Molecular Interactions: Synthesizing Spatial Transcriptomics, Proteomics, and Imaging Across Epithelia",GPT-5.2,AI,0.086239345,0.06276809,1.3739362,0.82893145
P_032,"A Synthesis of Mitochondrial Network Emergence: Linking Morphodynamics, Proteostasis, and Bioenergetics Across Cell Types",GPT-5.2,AI,0.08335999,0.06740935,1.2366235,0.56332654
P_033,"Emergent Signaling Specificity: Integrating Single-Cell Phospho-Proteomics, Kinase Networks, and Imaging to Decode Pathway Crosstalk",GPT-5.2,AI,0.076119155,0.060813494,1.2516819,0.5405481
P_034,A Comparative Synthesis of Ribosome Heterogeneity and Specialized Translation Across Tissues and Stress Conditions,GPT-5.2,AI,0.075540796,0.062292613,1.2126766,0.46788436
P_035,"Emergent Properties of Membrane Microdomains: Integrating Lipidomics, Proteomics, and Super-Resolution Imaging of Raft-Like Assemblies",GPT-5.2,AI,0.11641376,0.12801425,0.9093812,-0.40969318
P_036,A Multi-Scale Synthesis of Endocytic Trafficking Emergence: From Coat Assembly to Organelle Identity,GPT-5.2,AI,0.08423101,0.06750882,1.2477039,0.59057564
P_037,"Emergent Control of Cell Cycle Transitions: Integrating Single-Cell Time Series, Proteomics, and Perturbation Screens",GPT-5.2,AI,0.12590131,0.10617354,1.1858069,0.6967233
P_038,"A Synthesis of Nuclear Body Emergence: Integrating Proteomics, RNA Localization, and Imaging of Speckles, Nucleoli, and PML Bodies",GPT-5.2,AI,0.0820048,0.061962806,1.323452,0.70782053
P_039,"Emergent Antibiotic Tolerance Mechanisms: Synthesizing Bacterial Single-Cell Physiology, Transcriptomics, and Metabolic Models",GPT-5.2,AI,0.119144484,0.10861383,1.0969551,0.37190992
P_040,"A Cross-Species Synthesis of Autophagosome Biogenesis: Integrating Proteomics, Lipid Signatures, and Imaging Dynamics",GPT-5.2,AI,0.084393844,0.062381685,1.3528625,0.7774006
P_041,"Emergent RNA Localization Codes: Synthesizing Subcellular Transcriptomics, RBP Binding Maps, and Imaging to Predict RNA Destinations",GPT-5.2,AI,0.13222381,0.13143274,1.0060189,0.027938219
P_042,"A Community Meta-Analysis of Multivesicular Body and Exosome Biogenesis: Integrating ESCRT Networks, Proteomics, and Imaging",GPT-5.2,AI,0.082957745,0.059281863,1.3993782,0.8361581
P_043,"Emergent Mechanics of the Nucleus: Integrating Lamin Variants, Chromatin State, and Microscopy-Based Deformation Phenotypes",GPT-5.2,AI,0.0855412,0.06467429,1.3226463,0.7369542
P_044,"A Synthesis of Spatially Structured Immune Synapse Formation: Integrating Imaging, Proteomics, and Signaling Perturbation Data",GPT-5.2,AI,0.07865925,0.063673995,1.2353435,0.5292324
P_045,"Emergent Principles of Protein Allostery at Scale: Integrating Structural Ensembles, Mutational Scans, and Functional Genomics",GPT-5.2,AI,0.07578688,0.0648683,1.1683192,0.3856101
P_046,Deciphering the Sequence-to-Emergent-Property Grammar of Biomolecular Condensates,Gemini,AI,0.08061922,0.06427081,1.2543676,0.5773749
P_047,Emergence of Cellular Morphology from Cytoskeletal Crosstalk and Motor Protein Dynamics,Gemini,AI,0.08717509,0.06314641,1.3805233,0.84861785
