title,group
An Artificial Intelligence Framework for Predicting and Engineering Protein Regulation via Emergent Allosteric Order Parameters,Human
Evolutionary Origins of Complex Protein Topologies from Knotted Structures to Pierced Lassos,Human
Systemic Biological Network Decipherment Through Artificial Intelligence-Driven Multi-Omic Integration,Human
Sequence Conservation Learning from Functional Constraints in Intrinsically Disordered Protein Regions,Human
Integrative Multi-Omics Synthesis for the Identification of Shared Molecular Mechanisms in Mammalian Hibernation,Human
Ontological Framework for Allostery through Community-Scale Synthesis of Protein Dynamics,Human
SynEvo: Evolutionary Principles of Molecular Organization via Cross-Species Data Synthesis,Human
A Unified Analytical Framework for the Dynamics of Proteome Turnover,Human
Predictive Synthesis Framework for Elucidating Biophysical Cell States from Spatial Transcriptomics and Proteomics,Human
Integration of Artificial Intelligence and Molecular Dynamics Simulations for Quantitative Enzyme Function Prediction,Human
Discovery and Functional Characterization of Bacterial Organelles via Integrated Omics Data Mining and Refinement,Human
Impact of Heat Wave Stress on Cytokinetic Bottlenecks in Cellular Division,Human
Elucidation of Genome Structure-Function Relationships in Human Brain Cells,Human
MaiTool: Large Language Model-Powered Bioinformatics Framework for Comprehensive Microbiome Analysis,Human
Synthesis of Gene Expression Data for the Construction of a Bacterial Cell State Atlas,Human
Energetic Origins of Connectivity Patterns within Protein Interaction Networks,Human
Elucidation of Emergent Structural Patterns in Cellular RNA-Protein Interaction Networks,Human
The Role of Intrinsically Disordered Proteins in Cellular Adaptation and Homeostasis,Human
Multimodal Single-Cell Computational Frameworks for Cell Lines with Extensive Multi-Omics Data,Human
Integrated Transfer Learning for Mesoscale Organization Principles via Image Data and Biophysical Simulations,Human
The Role of Transposable Elements in the Emergence of Genomic Innovation,Human
Systematic Identification of Novel Protein-Protein Interactions via Crosslinking Mass Spectrometry,Human
Intelligent Metadata Compilation for Enhanced Reusability and Discoverability of Mass Spectrometry-Based Proteomics Data,Human
A Cross-Cell-Type Atlas of Biomolecular Condensate Material States and Their Emergent Regulation of Gene Expression Noise,gpt-5.2
"Predicting Organelle Contact Site Morphologies Through Integrated Cryo-ET, Proteomics, and Lipidomics of Emergent Membrane Curvature Codes",gpt-5.2
Synthesis of Actin and Microtubule Network Architecture and Emergent Intracellular Transport Efficiency in Mesoscale Cytoskeletal Percolation,gpt-5.2
"Integration of Hi-C, Super-Resolution Imaging, and Epigenomics for Explaining Cell-Type-Specific Gene Regulation via Emergent Chromatin Nanodomain Topology",gpt-5.2
"Protein Crowding as an Emergent Mesoscale Regulator of Cytoplasmic Viscosity, Diffusion, and Reaction Rates",gpt-5.2
"Integration of Cryo-EM Intermediates, rRNA Processing Maps, and Proteomics for Explaining Emergent Ribosome Assembly Robustness",gpt-5.2
"Emergent Computation in Mesoscale Signaling Microclusters: A Synthesis of Immune Receptor Imaging, Phosphoproteomics, and Single-Cell Responses",gpt-5.2
"Integration of Cryo-ET, Live Imaging, and Proteogenomics to Explain Emergent Mitochondrial Cristae Morphodynamics and Bioenergetic Plasticity",gpt-5.2
