title,lda_topic,lda_topic_display,ward_cluster_name,ward_cluster_display
CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Elucidating genome structure-function relationships in human brain cells,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Synthesizing gene expression data to create an atlas of bacterial cell states,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Energetic Origins of Connectivity within Protein Interaction Networks,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Elucidating emergent structures in cellular RNA-protein interaction networks,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Multimodel single-cell frameworks for cell lines with extensive multi-omics data,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Transposable elements and the emergence of genomic innovation,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_A,"Cluster_A: mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
Searching the crosslinking mass spectrometry universe for new protein-protein interactions,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_A,"Cluster_A: mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_A,"Cluster_A: mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Deciphering systemic biological networks through AI-driven multi-omic integration,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_A,"Cluster_A: mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Revealing the Ontology of Allostery through Community-Scale Synthesis,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
A Unified Framework for Analyses of Proteome Turnover Dynamics,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_A,"Cluster_A: mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_A,"Cluster_A: mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
A Cross-Modal Synthesis of Biomolecular Condensate Material Properties and Cellular Function Across Species and Perturbations,Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Emergent Principles of Organelle Contact Sites: A Synthesis of Proteomics, Imaging, and Genetic Interaction Data",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_A,"Cluster_A: mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
"A Pan-Cell Atlas of Cytoskeletal Self-Organization: Integrating Live-Cell Imaging, Proteomics, and Biophysical Models",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function",Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_A,"Cluster_A: mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Mesoscale Metabolic Channeling: Synthesizing Spatial Proteomics, Metabolomics, and Enzyme Complex Data to Map Functional Microdomains",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
Emergent Robustness in Gene Regulatory Networks: A Synthesis of Single-Cell Perturbation Atlases Across Cell Types,Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"A Community Synthesis of Mesoscale Protein Quality Control: Integrating Proteostasis Networks, Aggregation Data, and Stress Responses",Topic_2,"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Emergent Cell Polarity from Molecular Interactions: Synthesizing Spatial Transcriptomics, Proteomics, and Imaging Across Epithelia",Topic_1,"Topic_1: functional data, integrating structural, emergent properties, multi scale",Cluster_B,"Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
