proposal_uid,title,group_model,group_binary,median_neighbor_year,mean_neighbor_year,lit_region_stratum,lit_region_label
P_000,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Human,Human,2020.5,2020.55,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention"
P_001,Elucidating genome structure-function relationships in human brain cells,Human,Human,2023.0,2020.9,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention"
P_002,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Human,Human,2023.0,2021.3,7,"transgene expression, metabolite production, study illustrates, precise genome"
P_003,Synthesizing gene expression data to create an atlas of bacterial cell states,Human,Human,2024.0,2022.45,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention"
P_004,Energetic Origins of Connectivity within Protein Interaction Networks,Human,Human,2021.5,2019.85,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state"
P_005,Elucidating emergent structures in cellular RNA-protein interaction networks,Human,Human,2021.5,2020.75,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention"
P_006,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,Human,Human,2021.5,2021.45,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state"
P_007,Multimodel single-cell frameworks for cell lines with extensive multi-omics data,Human,Human,2024.0,2022.55,1,"details use execution, myosin motors, nascent chain, origin life"
P_008,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,Human,Human,2021.0,2020.1,1,"details use execution, myosin motors, nascent chain, origin life"
P_009,Transposable elements and the emergence of genomic innovation,Human,Human,2022.5,2022.25,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention"
P_010,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,Human,Human,2021.0,2020.35,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention"
P_011,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,Human,Human,2024.0,2021.95,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention"
P_012,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Human,Human,2021.5,2019.5,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention"
P_013,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Human,Human,2024.5,2022.1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention"
P_014,Deciphering systemic biological networks through AI-driven multi-omic integration,Human,Human,2023.0,2021.4,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention"
P_015,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,Human,Human,2023.5,2021.1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention"
P_016,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,Human,Human,2023.0,2021.6,1,"details use execution, myosin motors, nascent chain, origin life"
P_017,Revealing the Ontology of Allostery through Community-Scale Synthesis,Human,Human,2021.0,2019.5,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention"
