proposal_uid,title,group_model,group_binary,max_topic_weight,n_topics_gt5pct,topic_0_weight,topic_1_weight,topic_2_weight,topic_3_weight,topic_4_weight,topic_5_weight,topic_6_weight,topic_7_weight,topic_8_weight,topic_9_weight,topic_10_weight,topic_11_weight,topic_12_weight,topic_13_weight,topic_14_weight
P_000,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Human,Human,0.25,4,0.1,0.25,0.05,0.05,0.15,0.05,0.05,0.0,0.0,0.15,0.05,0.0,0.05,0.0,0.05
P_001,Elucidating genome structure-function relationships in human brain cells,Human,Human,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_002,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Human,Human,0.55,2,0.55,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.35,0.0,0.0
P_003,Synthesizing gene expression data to create an atlas of bacterial cell states,Human,Human,0.25,4,0.25,0.25,0.0,0.05,0.15,0.0,0.0,0.0,0.0,0.1,0.05,0.05,0.05,0.05,0.0
P_004,Energetic Origins of Connectivity within Protein Interaction Networks,Human,Human,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_005,Elucidating emergent structures in cellular RNA-protein interaction networks,Human,Human,0.5,4,0.5,0.05,0.1,0.0,0.05,0.0,0.05,0.0,0.0,0.1,0.05,0.1,0.0,0.0,0.0
P_006,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,Human,Human,0.8,2,0.8,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
P_007,Multimodel single-cell frameworks for cell lines with extensive multi-omics data,Human,Human,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_008,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,Human,Human,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_009,Transposable elements and the emergence of genomic innovation,Human,Human,0.3,4,0.3,0.05,0.05,0.0,0.1,0.0,0.05,0.0,0.0,0.25,0.0,0.1,0.05,0.0,0.05
P_010,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,Human,Human,0.3,4,0.3,0.1,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.25,0.0,0.0,0.15,0.05,0.05
P_011,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,Human,Human,0.4,4,0.25,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.4,0.1,0.0
P_012,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Human,Human,0.3,4,0.3,0.05,0.05,0.05,0.2,0.05,0.1,0.0,0.0,0.05,0.15,0.0,0.0,0.0,0.0
P_013,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Human,Human,0.65,3,0.65,0.0,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.1
P_014,Deciphering systemic biological networks through AI-driven multi-omic integration,Human,Human,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_015,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,Human,Human,0.85,2,0.85,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_016,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,Human,Human,0.2,6,0.15,0.15,0.1,0.0,0.15,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.2,0.05,0.05
P_017,Revealing the Ontology of Allostery through Community-Scale Synthesis,Human,Human,0.8,2,0.8,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
P_018,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,Human,Human,0.95,1,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
P_019,A Unified Framework for Analyses of Proteome Turnover Dynamics,Human,Human,0.25,5,0.05,0.05,0.0,0.05,0.15,0.05,0.0,0.1,0.0,0.25,0.1,0.15,0.0,0.0,0.05
P_020,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,Human,Human,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_021,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,Human,Human,0.9,2,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_022,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Human,Human,0.6,3,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.6,0.0,0.1,0.0,0.0
P_023,A Cross-Modal Synthesis of Biomolecular Condensate Material Properties and Cellular Function Across Species and Perturbations,GPT-5.2,AI,0.95,1,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
P_024,"Emergent Principles of Organelle Contact Sites: A Synthesis of Proteomics, Imaging, and Genetic Interaction Data",GPT-5.2,AI,0.5,3,0.5,0.05,0.2,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.05,0.05,0.0,0.0,0.0
P_025,"A Pan-Cell Atlas of Cytoskeletal Self-Organization: Integrating Live-Cell Imaging, Proteomics, and Biophysical Models",GPT-5.2,AI,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_026,"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function",GPT-5.2,AI,0.9,1,0.9,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
P_027,"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",GPT-5.2,AI,0.3,4,0.2,0.15,0.05,0.05,0.3,0.0,0.0,0.0,0.0,0.15,0.0,0.05,0.05,0.0,0.0
P_028,"Mesoscale Metabolic Channeling: Synthesizing Spatial Proteomics, Metabolomics, and Enzyme Complex Data to Map Functional Microdomains",GPT-5.2,AI,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
