proposal_uid,condition,text_version,source_type,source_group,model,cohort,proposal_id,title,title_norm,abstract_text,full_text,proposal_status,ranking,is_funded_human,is_top5_ranked_human,authors,idea_uid,idea_index,generation_mode,temperature,prompt_template,persona_card_id,matched_human_proposal_uid,proposal_generated_at,rephrased_at,standardized_text,rephrased_abstract,abstract_original
y1::1,persona,rephrased,human,Human,human,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,cytokinetic bottlenecks of heat waves,"Plant cytokinesis requires phragmoplast expansion through coordinated microtubules and vesicles, and understanding its cellular response to high temperature stress across species is essential because elevated heat induces cytokinetic arrest and alters gene expression. This project will predict genetic bottlenecks under high temperature stress by reanalyzing single cell and whole organ omics data to construct and compare multi layered network models using orthology inference, differential gene expression, and multiplex network construction. Public transcriptomic, translatomic, and proteomic data from species including Zea mays and Arabidopsis thaliana will be integrated by creating single layer networks and linking these into a unified multiplex model. The identified cytokinetic bottlenecks will provide foundational knowledge for cellular heat adaptation theories and yield novel genetic markers to engineer heat resilient agricultural and landscaping plants.",This project investigates plant cytokinesis under high temperature stress to uncover molecular mechanisms and genetic factors governing cellular resilience. Heat arrests phragmoplast expansion in susceptible plants while resilient species maintain division despite undefined protein networks governing this process. The proposed study compares molecular changes between susceptible and tolerant species to predict genetic bottlenecks for engineering resilient plants. The study standardizes available single cell and whole organ omics data to construct and compare multilayered cytokinetic network models. Researchers will apply orthology inference and trajectory analysis alongside evaluations of differential gene expression to construct multiplex network models. Validation requires filtering transcripts present in fewer than half the datasets and benchmarking candidates against known mitotic target genes. Datasets include available transcriptomic and proteomic records from single cells and whole organs of species such as Arabidopsis thaliana. The team will integrate datasets by generating individual networks for each omics type before linking them into one model. The project mitigates variations from disparate growth conditions by applying a standardized reprocessing pipeline across a large data volume. The project spans two years with the submission of a primary manuscript scheduled for the end of this period. Cross disciplinary collaboration merges biological expertise in plant cytokinesis with the technical capabilities of a synthesis center for analysis. The team will disseminate findings through a primary research manuscript and a published review article for the scientific community. The research team includes domain experts in plant physiology and protein biochemistry alongside a bioinformatics scientist and an assistant.,Accepted,1.0,False,True,Andrei Smertenko; Carolyn Rasmussen; Dawn Nagel; Georgia Drakakaki; Stephen Ficklin,,,,,,,,,2026-07-11T02:08:42.721975,This project investigates plant cytokinesis under high temperature stress to uncover molecular mechanisms and genetic factors governing cellular resilience. Heat arrests phragmoplast expansion in susceptible plants while resilient species maintain division despite undefined protein networks governing this process. The proposed study compares molecular changes between susceptible and tolerant species to predict genetic bottlenecks for engineering resilient plants. The study standardizes available single cell and whole organ omics data to construct and compare multilayered cytokinetic network models. Researchers will apply orthology inference and trajectory analysis alongside evaluations of differential gene expression to construct multiplex network models. Validation requires filtering transcripts present in fewer than half the datasets and benchmarking candidates against known mitotic target genes. Datasets include available transcriptomic and proteomic records from single cells and whole organs of species such as Arabidopsis thaliana. The team will integrate datasets by generating individual networks for each omics type before linking them into one model. The project mitigates variations from disparate growth conditions by applying a standardized reprocessing pipeline across a large data volume. The project spans two years with the submission of a primary manuscript scheduled for the end of this period. Cross disciplinary collaboration merges biological expertise in plant cytokinesis with the technical capabilities of a synthesis center for analysis. The team will disseminate findings through a primary research manuscript and a published review article for the scientific community. The research team includes domain experts in plant physiology and protein biochemistry alongside a bioinformatics scientist and an assistant.,"Plant cytokinesis requires phragmoplast expansion through coordinated microtubules and vesicles, and understanding its cellular response to high temperature stress across species is essential because elevated heat induces cytokinetic arrest and alters gene expression. This project will predict genetic bottlenecks under high temperature stress by reanalyzing single cell and whole organ omics data to construct and compare multi layered network models using orthology inference, differential gene expression, and multiplex network construction. Public transcriptomic, translatomic, and proteomic data from species including Zea mays and Arabidopsis thaliana will be integrated by creating single layer networks and linking these into a unified multiplex model. The identified cytokinetic bottlenecks will provide foundational knowledge for cellular heat adaptation theories and yield novel genetic markers to engineer heat resilient agricultural and landscaping plants.","The lack of motility makes plants highly vulnerable to environmental anomalies such as periods of extreme high temperature known as heat waves. Plants can search for better habitats by exploiting seed mobility, which relies on completing the life cycle and producing seeds. Formation of reproductive organs and seed development requires the production of cells through cell division. The last stage of cell division, cytokinesis, encompasses many key cellular processes, including vesicle trafficking, cell wall biosynthesis, cytoskeletal dynamics, and signaling. While cytokinesis is highly sensitive to heat stress in plants adapted to temperate climates, cytokinesis is more resilient in species adapted to tropical zones. However, how heat stress affects cytokinesis and the mechanisms of cytokinetic robustness across different plant species remains unknown. This project aims to compare changes in cytokinetic components under heat stress in susceptible and hardy species to characterize differential responses of genetic circuits responsible for specific cellular events during cytokinesis. The long term goal is to harness this data for identifying the bottlenecks of cytokinetic robustness. The experimental approach here will be systematic analysis of publicly available data from single-cell and whole-organ omics data collected under control and high-temperature conditions including transcriptomics, translatomics, and proteomics. Predicting cytokinetic bottlenecks will inform future experimental design for their functional characterization leading to better understanding of cellular adaptation mechanisms to heat stress. This knowledge may provide insight into evolutionary strategies of plant adaptation to different climates and improve predictions for heat resiliency at the level of individual plants and populations."
y1::10,persona,rephrased,human,Human,human,y1,10,Transposable elements and the emergence of genomic innovation,transposable elements and the emergence of genomic innovation,"Within vertebrate evolutionary and regulatory genomics, transposable elements constitute nearly half of the human genome and critically generate functional regions like transcription factor binding sites to influence regulatory networks and phenotypic diversification. Precise functional characterization of these repetitive regions remains incomplete because standard analysis pipelines routinely discard short sequencing reads that map to multiple locations. To determine how transposable elements form novel transcripts, protein coding sequences, and cell specific enhancers, this project will reprocess data through repeat aware pipelines by aligning sequences to complete pangenome assemblies and utilizing probabilistic allocation tools. The research will integrate over 75,000 public functional genomic datasets from major consortia by intersecting signals with repeat annotations, modeling statistical associations, and applying tensor decomposition to link different data modalities. This approach will generate a systematic detection framework for functional elements within repetitive DNA, significantly advancing the understanding of how transposable elements drive evolutionary diversification across species.",This project in vertebrate regulatory genomics explores transposable elements because standard analysis pipelines discard reads from repetitive regions. Transposable elements originate half of the human genome and create regulatory elements while their functional characterization remains incomplete. This project determines how transposable elements form new regulatory sequences by utilizing probabilistic read allocation on previously discarded data. The two phase study design uses repeat aware pipelines and integrates data computationally to identify functional transposable elements. The team aligns reads to pangenome assemblies and applies hidden Markov models and tensor decomposition to analyze genomic dependencies. The project validates these results by assessing sequence conservation across species with the use of multi species alignments. The study analyzes numerous public genomic datasets like RNA-seq and ChIP-seq from the ENCODE and GTEx and FAANG consortia. The team integrates these datasets by intersecting functional genomic signals with RepeatMasker annotations and applying tensor decomposition techniques. The limitation of mapping short sequencing reads ambiguously is addressed by aligning data to pangenome assemblies with probabilistic allocation. The two year project dedicates the first year to data reprocessing and the second year to final integrated analyses. This massive scope requires collaboration because processing numerous genomic datasets exceeds single laboratory capabilities and necessitates cross disciplinary expertise. The team publicly releases a repository of reprocessed genomic datasets alongside reproducible analysis pipelines and empirical research publications. The cross disciplinary team includes computational staff scientists and researchers from multiple laboratories specializing in evolutionary and regulatory genomics.,Accepted,1.0,False,True,Shaun Mahony,,,,,,,,,2026-07-11T02:26:41.906106,This project in vertebrate regulatory genomics explores transposable elements because standard analysis pipelines discard reads from repetitive regions. Transposable elements originate half of the human genome and create regulatory elements while their functional characterization remains incomplete. This project determines how transposable elements form new regulatory sequences by utilizing probabilistic read allocation on previously discarded data. The two phase study design uses repeat aware pipelines and integrates data computationally to identify functional transposable elements. The team aligns reads to pangenome assemblies and applies hidden Markov models and tensor decomposition to analyze genomic dependencies. The project validates these results by assessing sequence conservation across species with the use of multi species alignments. The study analyzes numerous public genomic datasets like RNA-seq and ChIP-seq from the ENCODE and GTEx and FAANG consortia. The team integrates these datasets by intersecting functional genomic signals with RepeatMasker annotations and applying tensor decomposition techniques. The limitation of mapping short sequencing reads ambiguously is addressed by aligning data to pangenome assemblies with probabilistic allocation. The two year project dedicates the first year to data reprocessing and the second year to final integrated analyses. This massive scope requires collaboration because processing numerous genomic datasets exceeds single laboratory capabilities and necessitates cross disciplinary expertise. The team publicly releases a repository of reprocessed genomic datasets alongside reproducible analysis pipelines and empirical research publications. The cross disciplinary team includes computational staff scientists and researchers from multiple laboratories specializing in evolutionary and regulatory genomics.,"Within vertebrate evolutionary and regulatory genomics, transposable elements constitute nearly half of the human genome and critically generate functional regions like transcription factor binding sites to influence regulatory networks and phenotypic diversification. Precise functional characterization of these repetitive regions remains incomplete because standard analysis pipelines routinely discard short sequencing reads that map to multiple locations. To determine how transposable elements form novel transcripts, protein coding sequences, and cell specific enhancers, this project will reprocess data through repeat aware pipelines by aligning sequences to complete pangenome assemblies and utilizing probabilistic allocation tools. The research will integrate over 75,000 public functional genomic datasets from major consortia by intersecting signals with repeat annotations, modeling statistical associations, and applying tensor decomposition to link different data modalities. This approach will generate a systematic detection framework for functional elements within repetitive DNA, significantly advancing the understanding of how transposable elements drive evolutionary diversification across species.","Our working group aims to comprehensively investigate how transposable elements (TEs) contribute to genomic innovation and species diversification in vertebrates through the generation of novel functional elements. While TEs comprise nearly half of the human genome and are increasingly recognized as sources of regulatory innovation, their repetitive nature has complicated their analysis using short-read sequencing technologies. We propose a two-phase approach: First, we will reprocess tens of thousands of publicly available genomic datasets (including ChIP-seq, ATAC-seq, RNA-seq, and Ribo-seq) using repeat-aware analysis pipelines and new telomere-to-telomere and pangenome assemblies. Second, we will synthesize this reprocessed data to understand how TEs generate new transcription factor binding sites, cell-specific and species-specific enhancers, novel transcripts, and protein-coding sequences. The project combines multidisciplinary expertise from multiple labs and will leverage advanced computational approaches to uncover complex relationships between TEs and regulatory networks. Our investigation represents a quintessential mesoscale emergence phenomenon, bridging molecular-level TE insertions with emergent regulatory networks and phenotypic innovations. The project will produce both a comprehensive public data resource of repeat-aware genomic analyses and new insights into how TEs drive biological innovation through regulatory network evolution."
y1::11,persona,rephrased,human,Human,human,y1,11,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,searching the crosslinking mass spectrometry universe for new proteinprotein interactions,"Structural proteomics utilizes crosslinking mass spectrometry and machine learning to map specific interacting residues within physical protein protein interactions, providing critical spatial information necessary to define large protein complexes. Existing proteome wide interaction maps lack physical evidence of specific interacting residues, while historical search algorithms and fragmented repository structures make current crosslinking data difficult to reuse. This project will standardize and reanalyze public crosslinking mass spectrometry data using the Scout algorithm and map the discovered interactions to AlphaFold structural models to create a catalog of validated protein protein interactions. The project will integrate legacy human and yeast PRIDE repository datasets with the huMAP3.0 network, populating a centralized repository and incorporating verified interaction mappings into the EBI Complex Portal. This comprehensive structural catalog will provide direct physical evidence for predicted protein complexes, improve public dataset usability, and generate functional hypotheses for uncharacterized proteins.",The structural proteomics domain studies physical interactions between proteins but lacks standardized data to map specific interacting residues. Current models identify broad networks but limited algorithms and structures of repositories keep data for specific residues highly fragmented. The study standardizes data from mass spectrometry to build a structural catalog and provide physical evidence for predicted complexes. The study design filters public experiments and applies standardized metadata to infer functions of unannotated proteins from networks. The project utilizes the Scout algorithm for data reprocessing and applies AlphaFold to generate models of protein structures. The analytical approach validates detected interactions against huMAP predictions and assesses spatial proximity using structural models from AlphaFold. The project analyzes legacy crosslinking datasets of human and yeast samples from the PRIDE repository alongside huMAP3.0 networks. The integration plan populates a centralized repository with reprocessed data and incorporates verified mappings into the EBI Complex Portal. The study mitigates historical limitations of inconsistent parameters by applying uniform metadata standards and modern algorithms to files. A fifteen month timeline dedicates six months to curation of datasets and six months to validation before result dissemination. The project scope requires integration of internal mass spectrometry expertise with external infrastructure for repositories and database engineering capabilities. The team deposits reanalyzed datasets into a PRIDE database and shares verified structures through the EBI Complex Portal. The team includes structural biology experts and database engineers alongside data scientists who execute curation and computational tasks.,Accepted,4.0,False,True,Stephen D. Fried; Yasset Perez-Riverol; Henning Hermjakob,,,,,,,,,2026-07-11T02:28:34.416466,The structural proteomics domain studies physical interactions between proteins but lacks standardized data to map specific interacting residues. Current models identify broad networks but limited algorithms and structures of repositories keep data for specific residues highly fragmented. The study standardizes data from mass spectrometry to build a structural catalog and provide physical evidence for predicted complexes. The study design filters public experiments and applies standardized metadata to infer functions of unannotated proteins from networks. The project utilizes the Scout algorithm for data reprocessing and applies AlphaFold to generate models of protein structures. The analytical approach validates detected interactions against huMAP predictions and assesses spatial proximity using structural models from AlphaFold. The project analyzes legacy crosslinking datasets of human and yeast samples from the PRIDE repository alongside huMAP3.0 networks. The integration plan populates a centralized repository with reprocessed data and incorporates verified mappings into the EBI Complex Portal. The study mitigates historical limitations of inconsistent parameters by applying uniform metadata standards and modern algorithms to files. A fifteen month timeline dedicates six months to curation of datasets and six months to validation before result dissemination. The project scope requires integration of internal mass spectrometry expertise with external infrastructure for repositories and database engineering capabilities. The team deposits reanalyzed datasets into a PRIDE database and shares verified structures through the EBI Complex Portal. The team includes structural biology experts and database engineers alongside data scientists who execute curation and computational tasks.,"Structural proteomics utilizes crosslinking mass spectrometry and machine learning to map specific interacting residues within physical protein protein interactions, providing critical spatial information necessary to define large protein complexes. Existing proteome wide interaction maps lack physical evidence of specific interacting residues, while historical search algorithms and fragmented repository structures make current crosslinking data difficult to reuse. This project will standardize and reanalyze public crosslinking mass spectrometry data using the Scout algorithm and map the discovered interactions to AlphaFold structural models to create a catalog of validated protein protein interactions. The project will integrate legacy human and yeast PRIDE repository datasets with the huMAP3.0 network, populating a centralized repository and incorporating verified interaction mappings into the EBI Complex Portal. This comprehensive structural catalog will provide direct physical evidence for predicted protein complexes, improve public dataset usability, and generate functional hypotheses for uncharacterized proteins.","Crosslinking mass spectrometry (XL-MS) is a powerful structural proteomics method that can provide high-resolution structural information about complex mixtures of proteins in their native physiological context.1,2,3 The method works by chemically crosslinking two reactive amino acid residues that are close to one another in 3-D space, thereby freezing this spatial information into a covalent bond, and then retrieving this information by sequencing crosslinked peptides following enzymatic digest of the constituent proteins (like Hi-C,4 but for proteins). Initially developed in the 2000s to interrogate purified proteins, by the late-2010s, methods became available to interrogate protein-protein interactions (PPIs) on the proteome-scale and in the cellular environment.5 This project seeks to standardize, combine, and integrate existing publicly available crosslinking datasets from PRIDE to make these data more re-usable and useful for integrative and hybrid modeling. We will also create a meta-dataset to catalogue PPIs in human and other model organisms. Because XL-MS encodes information about both protein identity and interacting residues, these findings can be cross-validated to structural predictions of protein complexes using AlphaFold3, thereby providing stronger evidence for their existence compared to huMAP3.0, which predicts protein complexes without structural evidence. We will integrate these findings into the EBI Complex Portal to make it accessible to the life science community."
y1::12,persona,rephrased,human,Human,human,y1,12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometrybased proteomics data,"Mass spectrometry based proteomics emphasizes the extraction and harmonization of experimental metadata for bottom up discovery workflows, utilizing frameworks like the SDRF Proteomics format to specify sample relationships. Despite these frameworks, widespread inconsistent annotation persists across existing datasets, yielding incomplete or unstructured metadata that currently limits the discoverability and reusability of proteomics data in public repositories. This project will develop automated workflows to extract metadata from raw mass spectrometry files and scientific publications, utilizing open modification searching, fine tuned large language models, and Nextflow automation to harmonize unstructured information. Extracted metadata will be harmonized via controlled vocabularies into the SDRF Proteomics standard and linked directly to datasets in the PRIDE repository and ProteomicsML tutorial databases for web interface querying. This automated metadata enhancement framework will allow researchers to systematically query repositories for large scale reanalyses and artificial intelligence training, establishing a scalable paradigm for other omics disciplines.",This project investigates integration of metadata within proteomics utilizing mass spectrometry to resolve limited discoverability of public datasets. Researchers utilize annotation frameworks like SDRF-Proteomics to specify relationships between samples and assays but widespread inconsistent annotation persists. This study develops automated workflows for extraction of metadata to enable systematic queries of repositories for large scale reanalyses. The overall design involves developing automated pipelines for extraction of raw data and crowdsourcing algorithms through a machine learning challenge. Key methods apply tools like Param-Medic for extraction of raw data and fine tuned language models for mining of text. The team evaluates precision of results against a gold standard of publicly curated datasets and a private test set. The project utilizes the PRIDE repository and ProteomicsML alongside curated sets of public datasets that contain SDRF-Proteomics metadata. The team harmonizes the metadata using controlled vocabularies and links this information directly to datasets in the PRIDE database. To mitigate limitations in accuracy of extraction the natural language processing models explicitly indicate when specific elements remain unavailable. The two year timeline dedicates the first year to compilation of metadata and the second year to generation of retrospective data. The project requires cross disciplinary collaboration to merge specialized expertise in bioinformatics and machine learning across multiple research entities. The team releases code on GitHub and shares tutorial datasets via ProteomicsML to ensure open access for researchers. The group includes specialists in bioinformatics and machine learning who provide training in team science for data scientists.,Accepted,4.0,False,True,Wout Bittremieux; Iddo Friedberg,,,,,,,,,2026-07-11T02:30:22.596682,This project investigates integration of metadata within proteomics utilizing mass spectrometry to resolve limited discoverability of public datasets. Researchers utilize annotation frameworks like SDRF-Proteomics to specify relationships between samples and assays but widespread inconsistent annotation persists. This study develops automated workflows for extraction of metadata to enable systematic queries of repositories for large scale reanalyses. The overall design involves developing automated pipelines for extraction of raw data and crowdsourcing algorithms through a machine learning challenge. Key methods apply tools like Param-Medic for extraction of raw data and fine tuned language models for mining of text. The team evaluates precision of results against a gold standard of publicly curated datasets and a private test set. The project utilizes the PRIDE repository and ProteomicsML alongside curated sets of public datasets that contain SDRF-Proteomics metadata. The team harmonizes the metadata using controlled vocabularies and links this information directly to datasets in the PRIDE database. To mitigate limitations in accuracy of extraction the natural language processing models explicitly indicate when specific elements remain unavailable. The two year timeline dedicates the first year to compilation of metadata and the second year to generation of retrospective data. The project requires cross disciplinary collaboration to merge specialized expertise in bioinformatics and machine learning across multiple research entities. The team releases code on GitHub and shares tutorial datasets via ProteomicsML to ensure open access for researchers. The group includes specialists in bioinformatics and machine learning who provide training in team science for data scientists.,"Mass spectrometry based proteomics emphasizes the extraction and harmonization of experimental metadata for bottom up discovery workflows, utilizing frameworks like the SDRF Proteomics format to specify sample relationships. Despite these frameworks, widespread inconsistent annotation persists across existing datasets, yielding incomplete or unstructured metadata that currently limits the discoverability and reusability of proteomics data in public repositories. This project will develop automated workflows to extract metadata from raw mass spectrometry files and scientific publications, utilizing open modification searching, fine tuned large language models, and Nextflow automation to harmonize unstructured information. Extracted metadata will be harmonized via controlled vocabularies into the SDRF Proteomics standard and linked directly to datasets in the PRIDE repository and ProteomicsML tutorial databases for web interface querying. This automated metadata enhancement framework will allow researchers to systematically query repositories for large scale reanalyses and artificial intelligence training, establishing a scalable paradigm for other omics disciplines.","Mass spectrometry-based proteomics generates vast amounts of data, yet the effective reuse and discovery of these datasets remain challenging due to incomplete and inconsistent metadata. Metadata, which provides critical contextual information such as experimental conditions, sample characteristics, and data processing details, is essential for making data FAIR (findable, accessible, interoperable, and reusable). To address these challenges, our working group aims to develop intelligent, automated workflows for comprehensive metadata extraction, harmonization, and integration into PRIDE, the largest public proteomics data repository. We will develop powerful bioinformatics and natural language processing tools to extract metadata directly from raw mass spectrometry files and scientific publications. By leveraging structured data standards, metadata will be enriched with controlled vocabulary terms, enhancing dataset transparency and usability. Community engagement through a machine-learning challenge will further drive innovation in metadata extraction techniques. The outcomes of the working group's activities will include automated metadata compilation workflows integrated into user-friendly tools, advanced dataset querying capabilities in PRIDE, and the creation of educational resources for the scientific community. These efforts will enable researchers to efficiently locate and reuse proteomics datasets, facilitating secondary analyses such as AI model training and large-scale reanalysis."
y1::2,persona,rephrased,human,Human,human,y1,2,Elucidating genome structure-function relationships in human brain cells,elucidating genome structurefunction relationships in human brain cells,"Single cell genomics and epigenetics characterize the relationship between three dimensional chromatin organization, chromatin accessibility, and gene expression, a phenomenon that drives distinct cellular identities in the human brain. Independent analysis of isolated modalities fails to capture causal relationships, leaving the functional role of three dimensional chromatin organization in gene regulation and Alzheimer disease pathology unresolved. This project will develop a multimodal generative AI model utilizing contrastive learning, cross attention layers, and tensor decomposition to determine how genomic architecture regulates cell type specific gene expression and influences Alzheimer disease progression. The study will integrate single cell RNA seq and single cell Hi C datasets from human brain tissues by mapping cells to consensus identities and aligning structural embeddings with scGPT gene expression data. This framework will directly link three dimensional structural changes to gene expression at the single cell level to identify specific epigenetic drivers of neurodegenerative disease.",The domain of single cell genomics studies chromatin organization but its role in the progression of Alzheimer's disease remains unresolved. This project develops a generative model to link chromatin structure with gene expression and identify drivers of Alzheimer's disease. The study uses contrastive learning to align datasets of single cells and predicts gene expression through fine tuning procedures. Key algorithms include vision transformers and tensor decomposition alongside language models to predict expression from structural embeddings of chromatin. Researchers validate predictive accuracy by benchmarking the multimodal framework against unimodal models that evaluate sequences of DNA in isolation. The project utilizes RNA-seq databases of single cells and bulk ATAC-seq data from human brain tissue and mouse cells. The team integrates distinct datasets by mapping individual cells to a consensus list of types using cross attention mechanisms. The team mitigates the lack of concurrent human measurements by imputing missing modalities through the decomposition of data tensors. Proposed milestones involve the development of two separate computational tools and the subsequent production of two distinct scientific manuscripts. This complex scope requires cross disciplinary collaboration to merge bioinformatics methods with the accurate interpretation of results from neurobiology studies. The investigators will disseminate their scientific findings through the planned release of two computational tools and two academic manuscripts. The research team includes a requested staff scientist alongside experts in bioinformatics and deep learning from the NCEMS center.,Accepted,7.0,False,False,Bin Zhang; Longzhi Tan; Tamar Schlick; Dave Thirumalai; Justin Whalley,,,,,,,,,2026-07-11T02:10:26.531714,The domain of single cell genomics studies chromatin organization but its role in the progression of Alzheimer's disease remains unresolved. This project develops a generative model to link chromatin structure with gene expression and identify drivers of Alzheimer's disease. The study uses contrastive learning to align datasets of single cells and predicts gene expression through fine tuning procedures. Key algorithms include vision transformers and tensor decomposition alongside language models to predict expression from structural embeddings of chromatin. Researchers validate predictive accuracy by benchmarking the multimodal framework against unimodal models that evaluate sequences of DNA in isolation. The project utilizes RNA-seq databases of single cells and bulk ATAC-seq data from human brain tissue and mouse cells. The team integrates distinct datasets by mapping individual cells to a consensus list of types using cross attention mechanisms. The team mitigates the lack of concurrent human measurements by imputing missing modalities through the decomposition of data tensors. Proposed milestones involve the development of two separate computational tools and the subsequent production of two distinct scientific manuscripts. This complex scope requires cross disciplinary collaboration to merge bioinformatics methods with the accurate interpretation of results from neurobiology studies. The investigators will disseminate their scientific findings through the planned release of two computational tools and two academic manuscripts. The research team includes a requested staff scientist alongside experts in bioinformatics and deep learning from the NCEMS center.,"Single cell genomics and epigenetics characterize the relationship between three dimensional chromatin organization, chromatin accessibility, and gene expression, a phenomenon that drives distinct cellular identities in the human brain. Independent analysis of isolated modalities fails to capture causal relationships, leaving the functional role of three dimensional chromatin organization in gene regulation and Alzheimer disease pathology unresolved. This project will develop a multimodal generative AI model utilizing contrastive learning, cross attention layers, and tensor decomposition to determine how genomic architecture regulates cell type specific gene expression and influences Alzheimer disease progression. The study will integrate single cell RNA seq and single cell Hi C datasets from human brain tissues by mapping cells to consensus identities and aligning structural embeddings with scGPT gene expression data. This framework will directly link three dimensional structural changes to gene expression at the single cell level to identify specific epigenetic drivers of neurodegenerative disease.","Single-cell analysis has profoundly enhanced our understanding of brain tissue by facilitating the examination of gene expression and epigenetic features. However, investigating these modalities independently offers a fragmented view of gene regulation and its relationship to transcriptional activity. To overcome this limitation, we propose developing a multimodal generative AI model that integrates single-cell genomics datasets. This framework seeks to illuminate the interplay between three-dimensional genomic architecture and gene expression, uncovering the physical principles underlying the emergence of cell-type-specific gene expression programs, despite the inherent stochasticity of gene regulation at the single-cell level. Applied to datasets from Alzheimer's patients, this approach has the potential to identify epigenetic drivers of disease progression, thereby contributing to a deeper understanding of neurodegenerative processes."
y1::3,persona,rephrased,human,Human,human,y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,maitool  llmpowered bioinformatics tools for microbiome analysis,"The research domain of computational biology increasingly relies on large language models to extract information from scientific literature and locate dataset repositories for microbiome and ancient DNA sequencing data. However, current large language models lack the capacity to directly analyze bioinformatics datasets, execute computational workflows, or perform direct computational analysis on the underlying data. This project will develop MaiTool, a graphical interface linking fine tuned large language models like BioGPT and GeneGPT with taxonomic profiling pipelines to enable literature exploration, data extraction, and dynamic data analysis using REST APIs. The system will integrate databases including MGnify, the Human Microbiome Project, and the NCBI Sequence Read Archive by constructing a unified API that retrieves sample accessions, metadata, and raw data. This research will produce a novel framework connecting natural language processing with direct computational analysis, allowing automated execution of bioinformatics tasks and quality control from text based literature queries.",This computational biology project studies sequencing data from microbiomes and ancient DNA but large language models cannot directly analyze them. Current large language models locate data repositories and extract text from literature but lack capacity for direct computational analysis. This novel research asks how the MaiTool interface can automate bioinformatics tasks by connecting natural language processing with computational analysis. The study design involves evaluating language models and public databases to construct a unified application programming interface (API) and graphical interface. The analytical strategy applies BioGPT and BioMedLM and GeneGPT models alongside pipelines for taxonomic profiling and Java software development. The team will validate results through system testing and formal usability studies and sequential software releases to gather user feedback. The proposed study will utilize databases including MGnify and MG-RAST alongside the Human Microbiome Project and the NCBI Sequence Read Archive. The project integrates these datasets by constructing a unified API to retrieve sample accessions and raw data from repositories. The team will mitigate known issues regarding the reliability of datasets by embedding quality control measures within the bioinformatics pipeline. Milestones span two years from evaluating models and developing interfaces to conducting system testing and releasing the public software. This project requires cross disciplinary collaboration to integrate expertise regarding algorithms for metagenomics and processing of multimodal omics data. The team will publicly release the fully functional software system and publish the final system capabilities in scientific literature. The group includes experts in ancient DNA and molecular epidemiology alongside a language model scientist offering team science training.,Rejected,10.0,False,False,Daniel Huson; Laura Weyrich; Maik Pietzner,,,,,,,,,2026-07-11T02:12:41.302034,This computational biology project studies sequencing data from microbiomes and ancient DNA but large language models cannot directly analyze them. Current large language models locate data repositories and extract text from literature but lack capacity for direct computational analysis. This novel research asks how the MaiTool interface can automate bioinformatics tasks by connecting natural language processing with computational analysis. The study design involves evaluating language models and public databases to construct a unified application programming interface (API) and graphical interface. The analytical strategy applies BioGPT and BioMedLM and GeneGPT models alongside pipelines for taxonomic profiling and Java software development. The team will validate results through system testing and formal usability studies and sequential software releases to gather user feedback. The proposed study will utilize databases including MGnify and MG-RAST alongside the Human Microbiome Project and the NCBI Sequence Read Archive. The project integrates these datasets by constructing a unified API to retrieve sample accessions and raw data from repositories. The team will mitigate known issues regarding the reliability of datasets by embedding quality control measures within the bioinformatics pipeline. Milestones span two years from evaluating models and developing interfaces to conducting system testing and releasing the public software. This project requires cross disciplinary collaboration to integrate expertise regarding algorithms for metagenomics and processing of multimodal omics data. The team will publicly release the fully functional software system and publish the final system capabilities in scientific literature. The group includes experts in ancient DNA and molecular epidemiology alongside a language model scientist offering team science training.,"The research domain of computational biology increasingly relies on large language models to extract information from scientific literature and locate dataset repositories for microbiome and ancient DNA sequencing data. However, current large language models lack the capacity to directly analyze bioinformatics datasets, execute computational workflows, or perform direct computational analysis on the underlying data. This project will develop MaiTool, a graphical interface linking fine tuned large language models like BioGPT and GeneGPT with taxonomic profiling pipelines to enable literature exploration, data extraction, and dynamic data analysis using REST APIs. The system will integrate databases including MGnify, the Human Microbiome Project, and the NCBI Sequence Read Archive by constructing a unified API that retrieves sample accessions, metadata, and raw data. This research will produce a novel framework connecting natural language processing with direct computational analysis, allowing automated execution of bioinformatics tasks and quality control from text based literature queries.","Large language models (LLMs) like ChatGPT and BioGPT have revolutionized how researchers engage with scientific literature, offering capabilities such as extracting insights, summarizing methodologies, and identifying relevant publications. These models have applications in microbiome research, where they can assist in identifying datasets in repositories like MGnify and MG-RAST. However, LLMs lack the ability to directly analyze datasets, necessitating integration with bioinformatics tools to enable robust computational analysis. This project aims to develop MaiTool, a graphical interface that combines LLM capabilities with bioinformatics workflows for microbiome and ancient DNA research. MaiTool will enable users to explore publications, access public datasets via APIs, and perform dynamic analyses, integrating quality control measures to enhance reliability. Existing GPT systems (e.g., BioGPT, BioMedLM, and GeneGPT) will be evaluated and fine-tuned for microbiome applications. We will assess repositories such as HMP, IMG/M, and SRA for their suitability and develop APIs for seamless data access and integration. By addressing queries such as studies involving specific taxa, MaiTool will allow LLMs to retrieve literature while bioinformatics pipelines analyze and visualize dataset profiles. This approach aims to advance interdisciplinary research workflows and establish a new standard for AI-driven bioinformatics."
