proposal_uid,mesh_unique_terms_k20,source_group,source_type,title
y1::1,96,Human,human,CYTOKINETIC BOTTLENECKS OF HEAT WAVES
y1::10,120,Human,human,Transposable elements and the emergence of genomic innovation
y1::11,102,Human,human,Searching the crosslinking mass spectrometry universe for new protein-protein interactions
y1::12,101,Human,human,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data
y1::2,130,Human,human,Elucidating genome structure-function relationships in human brain cells
y1::3,68,Human,human,MaiTool - LLM-powered bioinformatics tools for microbiome analysis
y1::4,83,Human,human,Synthesizing gene expression data to create an atlas of bacterial cell states
y1::5,62,Human,human,Energetic Origins of Connectivity within Protein Interaction Networks
y1::6,101,Human,human,Elucidating emergent structures in cellular RNA-protein interaction networks
y1::7,118,Human,human,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation
y1::8,133,Human,human,Multimodel single-cell frameworks for cell lines with extensive multi-omics data
y1::9,72,Human,human,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning
y2::1,69,Human,human,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation
y2::10,50,Human,human,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions
y2::11,68,Human,human,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data
y2::2,88,Human,human,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies
y2::3,66,Human,human,Deciphering systemic biological networks through AI-driven multi-omic integration
y2::4,54,Human,human,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions
y2::5,104,Human,human,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation
y2::6,63,Human,human,Revealing the Ontology of Allostery through Community-Scale Synthesis
y2::7,97,Human,human,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis
y2::8,66,Human,human,A Unified Framework for Analyses of Proteome Turnover Dynamics
y2::9,78,Human,human,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics
baseline::claude-opus-4-5::01,132,Claude,ai,Emergent Phase Separation Grammar: Decoding How Intrinsically Disordered Region Sequence Patterns Drive Mesoscale Condensate Properties
baseline::claude-opus-4-5::02,84,Claude,ai,Temporal Dynamics of Ribosome Clustering: Synthesizing Cryo-ET and Ribosome Profiling Data to Understand Emergent Translation Factories
baseline::claude-opus-4-5::03,110,Claude,ai,"Emergent Mechanics of the Nuclear Pore Complex: Integrating Structural, Biophysical, and Transport Data to Model Collective Gating Behavior"
baseline::claude-opus-4-5::04,57,Claude,ai,"Chromatin Compartmentalization Dynamics: Synthesizing Hi-C, Imaging, and Epigenomic Data to Model Emergent Nuclear Organization"
baseline::claude-opus-4-5::05,114,Claude,ai,Emergent Allostery in Protein Complexes: Mining Structural Databases to Discover Long-Range Communication Networks
baseline::claude-opus-4-5::06,65,Claude,ai,Cytoskeletal Crosstalk at the Mesoscale: Integrating Structural and Live-Cell Data to Model Emergent Mechanical Properties
baseline::claude-opus-4-5::07,127,Claude,ai,Emergent Specificity in Kinase-Substrate Networks: Synthesizing Phosphoproteomics and Structural Data to Decode Signaling Fidelity
baseline::claude-opus-4-5::08,128,Claude,ai,"Metabolon Assembly and Emergent Metabolic Channeling: Integrating Structural, Metabolomic, and Interactome Data"
baseline::claude-opus-4-5::09,69,Claude,ai,Emergent Selectivity of Autophagy Receptors: Synthesizing Structural and Proteomic Data to Decode Cargo Recognition Networks
baseline::claude-opus-4-5::10,115,Claude,ai,Emergent Timing in Circadian Protein Networks: Integrating Structural Dynamics with Systems-Level Oscillations
baseline::claude-opus-4-5::11,114,Claude,ai,Emergent Proton Gradients in Mitochondrial Cristae: Synthesizing Cryo-ET and Bioenergetic Data to Model Mesoscale Energy Transduction
baseline::claude-opus-4-5::12,75,Claude,ai,Emergent Antigen Processing in the Immunoproteasome: Integrating Structural and Immunopeptidomic Data to Model Epitope Generation
baseline::claude-opus-4-5::13,104,Claude,ai,Emergent Selectivity in Nuclear Export: Synthesizing Structural and Transport Data to Model CRM1-Mediated Cargo Recognition
baseline::claude-opus-4-5::14,83,Claude,ai,"Emergent Cooperativity in Transcription Factor Clusters: Synthesizing ChIP-seq, Structural, and Imaging Data to Model Enhancer Activation"
baseline::claude-opus-4-5::15,116,Claude,ai,Emergent Viral Assembly: Synthesizing Cryo-EM and Sequence Data to Model How Capsid Geometry Arises from Protein Interactions
baseline::claude-opus-4-5::16,70,Claude,ai,Emergent Membrane Curvature Sensing: Integrating Structural and Lipidomic Data to Model BAR Domain Collective Behavior
baseline::claude-opus-4-5::17,102,Claude,ai,Emergent Prion Strain Properties: Synthesizing Cryo-EM Structures with Clinical Data to Model How Fibril Architecture Determines Pathology
baseline::claude-opus-4-5::18,92,Claude,ai,Emergent Cell Polarity from Protein Localization Networks: Synthesizing Imaging and Interactome Data to Model Symmetry Breaking
baseline::claude-opus-4-5::19,140,Claude,ai,Emergent Specificity in Ubiquitin Chain Recognition: Synthesizing Structural and Proteomic Data to Decode the Ubiquitin Code
baseline::claude-opus-4-5::20,73,Claude,ai,Emergent RNA Localization: Synthesizing Spatial Transcriptomics and RNA Structure Data to Model mRNA Targeting Networks
baseline::claude-opus-4-5::21,104,Claude,ai,Emergent Mechanics of Bacterial Microcompartments: Synthesizing Structural and Metabolic Data to Model Encapsulated Pathway Efficiency
baseline::claude-opus-4-5::22,132,Claude,ai,Emergent Receptor Clustering in Immune Synapses: Synthesizing Super-Resolution and Signaling Data to Model T Cell Activation Thresholds
baseline::claude-opus-4-5::23,126,Claude,ai,Emergent DNA Repair Pathway Choice: Synthesizing Damage Proteomics and Chromatin Data to Model Repair Mechanism Selection
baseline::gpt-5.2::01,87,GPT,ai,A Cross-Cell-Type Atlas of Biomolecular Condensate Material States and Their Emergent Control of Gene Expression Noise
baseline::gpt-5.2::02,111,GPT,ai,"Emergent Membrane Curvature Codes: Synthesizing Cryo-ET, Proteomics, and Lipidomics to Predict Organelle Contact Site Morphologies"
