proposal_uid,source_type,source_group,title,global_nn_index,global_nn_proposal_uid,global_nn_source_type,global_nn_source_group,global_nn_distance,global_mean_5nn_distance,global_nn_same_source_type,global_nn_same_source_group,is_global_nn_outlier_top10,is_global_mean5nn_outlier_top10
y1::1,human,Human,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,45,baseline::claude-opus-4-5::23,ai,Claude,0.055117011070251465,0.056046688556671144,False,False,False,False
y1::10,human,Human,Transposable elements and the emergence of genomic innovation,84,baseline::gemini-3-pro-preview::16,ai,Gemini,0.04373371601104736,0.046586596965789796,False,False,False,False
y1::11,human,Human,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,30,baseline::claude-opus-4-5::08,ai,Claude,0.1345672607421875,0.14886059761047363,False,False,True,True
y1::12,human,Human,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,31,baseline::claude-opus-4-5::09,ai,Claude,0.17386853694915771,0.19279221296310425,False,False,True,True
y1::2,human,Human,Elucidating genome structure-function relationships in human brain cells,46,baseline::gpt-5.2::01,ai,GPT,0.030238330364227295,0.03321629762649536,False,False,False,False
y1::3,human,Human,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,91,baseline::gemini-3-pro-preview::23,ai,Gemini,0.0433880090713501,0.04589952230453491,False,False,False,False
y1::4,human,Human,Synthesizing gene expression data to create an atlas of bacterial cell states,54,baseline::gpt-5.2::09,ai,GPT,0.08511662483215332,0.1108789324760437,False,False,False,False
y1::5,human,Human,Energetic Origins of Connectivity within Protein Interaction Networks,16,y2::3,human,Human,0.1328263282775879,0.13914865255355835,True,True,True,False
y1::6,human,Human,Elucidating emergent structures in cellular RNA-protein interaction networks,36,baseline::claude-opus-4-5::14,ai,Claude,0.022617816925048828,0.026439261436462403,False,False,False,False
y1::7,human,Human,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,91,baseline::gemini-3-pro-preview::23,ai,Gemini,0.0433429479598999,0.045145297050476076,False,False,False,False
y1::8,human,Human,Multimodel single-cell frameworks for cell lines with extensive multi-omics data,26,baseline::claude-opus-4-5::04,ai,Claude,0.034372687339782715,0.03687334060668945,False,False,False,False
y1::9,human,Human,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,30,baseline::claude-opus-4-5::08,ai,Claude,0.10058140754699707,0.109835684299469,False,False,False,False
y2::1,human,Human,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,19,y2::6,human,Human,0.02697896957397461,0.033467423915863034,True,True,False,False
y2::10,human,Human,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,41,baseline::claude-opus-4-5::19,ai,Claude,0.03550165891647339,0.03794499635696411,False,False,False,False
y2::11,human,Human,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,63,baseline::gpt-5.2::18,ai,GPT,0.21033912897109985,0.2264413356781006,False,False,True,True
y2::2,human,Human,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,17,y2::4,human,Human,0.03450590372085571,0.04322718381881714,True,True,False,False
y2::3,human,Human,Deciphering systemic biological networks through AI-driven multi-omic integration,31,baseline::claude-opus-4-5::09,ai,Claude,0.11286896467208862,0.12409299612045288,False,False,False,False
y2::4,human,Human,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,21,y2::8,human,Human,0.032088518142700195,0.03377813100814819,True,True,False,False
y2::5,human,Human,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,16,y2::3,human,Human,0.13951951265335083,0.17245947122573851,True,True,True,True
y2::6,human,Human,Revealing the Ontology of Allostery through Community-Scale Synthesis,12,y2::1,human,Human,0.02697896957397461,0.032815301418304445,True,True,False,False
y2::7,human,Human,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,91,baseline::gemini-3-pro-preview::23,ai,Gemini,0.034822165966033936,0.03906691074371338,False,False,False,False
y2::8,human,Human,A Unified Framework for Analyses of Proteome Turnover Dynamics,29,baseline::claude-opus-4-5::07,ai,Claude,0.03186321258544922,0.03262561559677124,False,False,False,False
y2::9,human,Human,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,63,baseline::gpt-5.2::18,ai,GPT,0.13293707370758057,0.14865555763244628,False,False,True,True
baseline::claude-opus-4-5::01,ai,Claude,Emergent Phase Separation Grammar: Decoding How Intrinsically Disordered Region Sequence Patterns Drive Mesoscale Condensate Properties,36,baseline::claude-opus-4-5::14,ai,Claude,0.02712935209274292,0.028774046897888185,True,True,False,False
baseline::claude-opus-4-5::02,ai,Claude,Temporal Dynamics of Ribosome Clustering: Synthesizing Cryo-ET and Ribosome Profiling Data to Understand Emergent Translation Factories,42,baseline::claude-opus-4-5::20,ai,Claude,0.022512972354888916,0.02641773223876953,True,True,False,False
baseline::claude-opus-4-5::03,ai,Claude,"Emergent Mechanics of the Nuclear Pore Complex: Integrating Structural, Biophysical, and Transport Data to Model Collective Gating Behavior",59,baseline::gpt-5.2::14,ai,GPT,0.027627289295196533,0.03330584764480591,True,False,False,False
baseline::claude-opus-4-5::04,ai,Claude,"Chromatin Compartmentalization Dynamics: Synthesizing Hi-C, Imaging, and Epigenomic Data to Model Emergent Nuclear Organization",49,baseline::gpt-5.2::04,ai,GPT,0.023293495178222656,0.025422120094299318,True,False,False,False
baseline::claude-opus-4-5::05,ai,Claude,Emergent Allostery in Protein Complexes: Mining Structural Databases to Discover Long-Range Communication Networks,7,y1::5,human,Human,0.194959819316864,0.22984185218811035,False,False,True,True
baseline::claude-opus-4-5::06,ai,Claude,Cytoskeletal Crosstalk at the Mesoscale: Integrating Structural and Live-Cell Data to Model Emergent Mechanical Properties,40,baseline::claude-opus-4-5::18,ai,Claude,0.02585911750793457,0.028160250186920165,True,True,False,False
