proposal_uid,bertopic_region_entropy,bertopic_max_region_weight,bertopic_unique_regions,bertopic_dominant_region,bertopic_dominant_label,source_group,source_type,title
y1::1,0.747584679824574,0.85,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,CYTOKINETIC BOTTLENECKS OF HEAT WAVES
y1::10,0.8841837197791889,0.8,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,Transposable elements and the emergence of genomic innovation
y1::11,1.3366664819166874,0.55,3,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Human,human,Searching the crosslinking mass spectrometry universe for new protein-protein interactions
y1::12,0.8841837197791889,0.8,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data
y1::2,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,Elucidating genome structure-function relationships in human brain cells
y1::3,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,MaiTool - LLM-powered bioinformatics tools for microbiome analysis
y1::4,0.4689955935892812,0.9,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,Synthesizing gene expression data to create an atlas of bacterial cell states
y1::5,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,Energetic Origins of Connectivity within Protein Interaction Networks
y1::6,1.2567796494470393,0.7,4,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,Elucidating emergent structures in cellular RNA-protein interaction networks
y1::7,1.0,0.5,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation
y1::8,1.4854752972273344,0.5,3,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Human,human,Multimodel single-cell frameworks for cell lines with extensive multi-omics data
y1::9,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning
y2::1,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation
y2::10,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions
y2::11,1.6387586809150083,0.55,4,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data
y2::2,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies
y2::3,0.28639695711595625,0.95,2,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,Deciphering systemic biological networks through AI-driven multi-omic integration
y2::4,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions
y2::5,0.6098403047164004,0.85,2,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation
y2::6,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,Revealing the Ontology of Allostery through Community-Scale Synthesis
y2::7,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis
y2::8,1.533206219346495,0.6,4,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,A Unified Framework for Analyses of Proteome Turnover Dynamics
y2::9,1.2344977967946407,0.5,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics
baseline::claude-opus-4-5::01,0.28639695711595625,0.95,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,Emergent Phase Separation Grammar: Decoding How Intrinsically Disordered Region Sequence Patterns Drive Mesoscale Condensate Properties
baseline::claude-opus-4-5::02,1.4387586809150081,0.55,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,Temporal Dynamics of Ribosome Clustering: Synthesizing Cryo-ET and Ribosome Profiling Data to Understand Emergent Translation Factories
baseline::claude-opus-4-5::03,1.5812908992306927,0.35,3,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Claude,ai,"Emergent Mechanics of the Nuclear Pore Complex: Integrating Structural, Biophysical, and Transport Data to Model Collective Gating Behavior"
baseline::claude-opus-4-5::04,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,"Chromatin Compartmentalization Dynamics: Synthesizing Hi-C, Imaging, and Epigenomic Data to Model Emergent Nuclear Organization"
baseline::claude-opus-4-5::05,0.9709505944546686,0.6,2,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",Claude,ai,Emergent Allostery in Protein Complexes: Mining Structural Databases to Discover Long-Range Communication Networks
baseline::claude-opus-4-5::06,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,Cytoskeletal Crosstalk at the Mesoscale: Integrating Structural and Live-Cell Data to Model Emergent Mechanical Properties
baseline::claude-opus-4-5::07,0.747584679824574,0.85,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,Emergent Specificity in Kinase-Substrate Networks: Synthesizing Phosphoproteomics and Structural Data to Decode Signaling Fidelity
baseline::claude-opus-4-5::08,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,"Metabolon Assembly and Emergent Metabolic Channeling: Integrating Structural, Metabolomic, and Interactome Data"
baseline::claude-opus-4-5::09,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,Emergent Selectivity of Autophagy Receptors: Synthesizing Structural and Proteomic Data to Decode Cargo Recognition Networks
baseline::claude-opus-4-5::10,0.7219280948873623,0.8,2,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",Claude,ai,Emergent Timing in Circadian Protein Networks: Integrating Structural Dynamics with Systems-Level Oscillations
