sample_index,human_value,ai_value,metric,condition
0,0.09208057920923346,0.06525960576392917,mean_pairwise_distance,persona
1,0.09208057920923346,0.06393819010776022,mean_pairwise_distance,persona
2,0.09208057920923346,0.0646161674982003,mean_pairwise_distance,persona
3,0.09208057920923346,0.060634491471905014,mean_pairwise_distance,persona
4,0.09208057920923346,0.06660131974653764,mean_pairwise_distance,persona
5,0.09208057920923346,0.06130208987963529,mean_pairwise_distance,persona
6,0.09208057920923346,0.06419012409896248,mean_pairwise_distance,persona
7,0.09208057920923346,0.06612757826039914,mean_pairwise_distance,persona
8,0.09208057920923346,0.06064843990114838,mean_pairwise_distance,persona
9,0.09208057920923346,0.06281448046680496,mean_pairwise_distance,persona
10,0.09208057920923346,0.06393814840806802,mean_pairwise_distance,persona
11,0.09208057920923346,0.06346273728510136,mean_pairwise_distance,persona
12,0.09208057920923346,0.060820908414516525,mean_pairwise_distance,persona
13,0.09208057920923346,0.05925697983489206,mean_pairwise_distance,persona
14,0.09208057920923346,0.06401882741762244,mean_pairwise_distance,persona
15,0.09208057920923346,0.060204473408785736,mean_pairwise_distance,persona
16,0.09208057920923346,0.057564125230661026,mean_pairwise_distance,persona
17,0.09208057920923346,0.06718520425525107,mean_pairwise_distance,persona
18,0.09208057920923346,0.06306329687593483,mean_pairwise_distance,persona
19,0.09208057920923346,0.05984592861808807,mean_pairwise_distance,persona
20,0.09208057920923346,0.0653242940016886,mean_pairwise_distance,persona
21,0.09208057920923346,0.06708246540175125,mean_pairwise_distance,persona
22,0.09208057920923346,0.0612397198620521,mean_pairwise_distance,persona
23,0.09208057920923346,0.0698647204595121,mean_pairwise_distance,persona
24,0.09208057920923346,0.061481063309394325,mean_pairwise_distance,persona
25,0.09208057920923346,0.0632286611281836,mean_pairwise_distance,persona
26,0.09208057920923346,0.06923016234348885,mean_pairwise_distance,persona
27,0.09208057920923346,0.06318669663116394,mean_pairwise_distance,persona
28,0.09208057920923346,0.06108965232909432,mean_pairwise_distance,persona
29,0.09208057920923346,0.06066471408949539,mean_pairwise_distance,persona
30,0.09208057920923346,0.06717688410649658,mean_pairwise_distance,persona
31,0.09208057920923346,0.06344561143354936,mean_pairwise_distance,persona
32,0.09208057920923346,0.062360274226297974,mean_pairwise_distance,persona
33,0.09208057920923346,0.06838401457066592,mean_pairwise_distance,persona
34,0.09208057920923346,0.06502609196387732,mean_pairwise_distance,persona
35,0.09208057920923346,0.06503712871800298,mean_pairwise_distance,persona
36,0.09208057920923346,0.06616045246011183,mean_pairwise_distance,persona
37,0.09208057920923346,0.06864966281317911,mean_pairwise_distance,persona
38,0.09208057920923346,0.06260485422941064,mean_pairwise_distance,persona
39,0.09208057920923346,0.06669396067796489,mean_pairwise_distance,persona
40,0.09208057920923346,0.06634847330952821,mean_pairwise_distance,persona
41,0.09208057920923346,0.060308463488642876,mean_pairwise_distance,persona
42,0.09208057920923346,0.06579516362766974,mean_pairwise_distance,persona
43,0.09208057920923346,0.0639635178411431,mean_pairwise_distance,persona
44,0.09208057920923346,0.06752175469643514,mean_pairwise_distance,persona
45,0.09208057920923346,0.06351215707454756,mean_pairwise_distance,persona
46,0.09208057920923346,0.06163796417326795,mean_pairwise_distance,persona
47,0.09208057920923346,0.06358966855663556,mean_pairwise_distance,persona
48,0.09208057920923346,0.061385061429894486,mean_pairwise_distance,persona
49,0.09208057920923346,0.06198593161322854,mean_pairwise_distance,persona
50,0.09208057920923346,0.06729745982663905,mean_pairwise_distance,persona
51,0.09208057920923346,0.06589095371042787,mean_pairwise_distance,persona
52,0.09208057920923346,0.061242259067037834,mean_pairwise_distance,persona
53,0.09208057920923346,0.06391188608327873,mean_pairwise_distance,persona
54,0.09208057920923346,0.06273401985055373,mean_pairwise_distance,persona
55,0.09208057920923346,0.06479931231072769,mean_pairwise_distance,persona
56,0.09208057920923346,0.06265586850200246,mean_pairwise_distance,persona
57,0.09208057920923346,0.06271665440246521,mean_pairwise_distance,persona
58,0.09208057920923346,0.06555951183492487,mean_pairwise_distance,persona
59,0.09208057920923346,0.06261285680084831,mean_pairwise_distance,persona
60,0.09208057920923346,0.05776096262008305,mean_pairwise_distance,persona
61,0.09208057920923346,0.0656111402945085,mean_pairwise_distance,persona
62,0.09208057920923346,0.06162519982680973,mean_pairwise_distance,persona
63,0.09208057920923346,0.05854862410089244,mean_pairwise_distance,persona
64,0.09208057920923346,0.062270163547380165,mean_pairwise_distance,persona
65,0.09208057920923346,0.06170080749413713,mean_pairwise_distance,persona
66,0.09208057920923346,0.06157609714349739,mean_pairwise_distance,persona
67,0.09208057920923346,0.06174802261850108,mean_pairwise_distance,persona
68,0.09208057920923346,0.062132268319488045,mean_pairwise_distance,persona
69,0.09208057920923346,0.061732774902238205,mean_pairwise_distance,persona
70,0.09208057920923346,0.058286085194749794,mean_pairwise_distance,persona
71,0.09208057920923346,0.06593259474034366,mean_pairwise_distance,persona
72,0.09208057920923346,0.06138121422100444,mean_pairwise_distance,persona
73,0.09208057920923346,0.06611419996254057,mean_pairwise_distance,persona
74,0.09208057920923346,0.06167441300252681,mean_pairwise_distance,persona
75,0.09208057920923346,0.05981695958276982,mean_pairwise_distance,persona
76,0.09208057920923346,0.06079988352394858,mean_pairwise_distance,persona
77,0.09208057920923346,0.06599599217237691,mean_pairwise_distance,persona
78,0.09208057920923346,0.05830577522398455,mean_pairwise_distance,persona
79,0.09208057920923346,0.06420803494133026,mean_pairwise_distance,persona
80,0.09208057920923346,0.058915934072652824,mean_pairwise_distance,persona
81,0.09208057920923346,0.06062540117459806,mean_pairwise_distance,persona
82,0.09208057920923346,0.06528022425919182,mean_pairwise_distance,persona
83,0.09208057920923346,0.06635223170042981,mean_pairwise_distance,persona
84,0.09208057920923346,0.06513879680822018,mean_pairwise_distance,persona
85,0.09208057920923346,0.06250320616446936,mean_pairwise_distance,persona
86,0.09208057920923346,0.06654791162890408,mean_pairwise_distance,persona
87,0.09208057920923346,0.062252059048814735,mean_pairwise_distance,persona
88,0.09208057920923346,0.06187033441226944,mean_pairwise_distance,persona
89,0.09208057920923346,0.06725627513742258,mean_pairwise_distance,persona
90,0.09208057920923346,0.06546120115890805,mean_pairwise_distance,persona
91,0.09208057920923346,0.062157751072065635,mean_pairwise_distance,persona
92,0.09208057920923346,0.06580310306059042,mean_pairwise_distance,persona
93,0.09208057920923346,0.06366986790193399,mean_pairwise_distance,persona
94,0.09208057920923346,0.060452605895845314,mean_pairwise_distance,persona
95,0.09208057920923346,0.06438088252139186,mean_pairwise_distance,persona
96,0.09208057920923346,0.061993420124053955,mean_pairwise_distance,persona
97,0.09208057920923346,0.06673281301151622,mean_pairwise_distance,persona
98,0.09208057920923346,0.06555543115487683,mean_pairwise_distance,persona
99,0.09208057920923346,0.05941954455356824,mean_pairwise_distance,persona
100,0.09208057920923346,0.06480802000746896,mean_pairwise_distance,persona
101,0.09208057920923346,0.06522483434601735,mean_pairwise_distance,persona
102,0.09208057920923346,0.06657459259975569,mean_pairwise_distance,persona
103,0.09208057920923346,0.06675973334331287,mean_pairwise_distance,persona
