failed_at,scope,artifact_family,row_id,error
2026-07-09T23:08:43.802513,one_at_a_time,ai_reviews,one_at_a_time::y1::1::claude-sonnet-5::005,unclosed JSON object
2026-07-09T23:12:36.947072,one_at_a_time,ai_reviews,one_at_a_time::y1::10::gpt-5.5::002,unclosed JSON object
2026-07-09T23:13:22.403456,one_at_a_time,ai_reviews,one_at_a_time::y1::11::claude-sonnet-5::001,unclosed JSON object
2026-07-09T23:14:06.613718,one_at_a_time,ai_reviews,one_at_a_time::y1::11::gemini-3.1-pro-preview::001,unclosed JSON object
2026-07-09T23:15:35.281478,one_at_a_time,ai_reviews,one_at_a_time::y1::11::gpt-5.5::005,unclosed JSON object
2026-07-09T23:15:46.735297,one_at_a_time,ai_reviews,one_at_a_time::y1::12::claude-sonnet-5::001,unclosed JSON object
2026-07-09T23:17:07.649489,one_at_a_time,ai_reviews,one_at_a_time::y1::12::gemini-3.1-pro-preview::005,unclosed JSON object
2026-07-09T23:17:57.012144,one_at_a_time,ai_reviews,one_at_a_time::y1::12::gpt-5.5::004,unclosed JSON object
2026-07-09T23:18:08.991510,one_at_a_time,ai_reviews,one_at_a_time::y1::12::gpt-5.5::005,unclosed JSON object
2026-07-09T23:18:29.732810,one_at_a_time,ai_reviews,one_at_a_time::y1::2::claude-sonnet-5::002,unclosed JSON object
2026-07-09T23:21:35.562176,one_at_a_time,ai_reviews,one_at_a_time::y1::3::claude-sonnet-5::005,unclosed JSON object
2026-07-09T23:22:16.628073,one_at_a_time,ai_reviews,one_at_a_time::y1::3::gemini-3.1-pro-preview::005,unclosed JSON object
2026-07-09T23:23:06.972454,one_at_a_time,ai_reviews,one_at_a_time::y1::3::gpt-5.5::004,unclosed JSON object
2026-07-09T23:25:14.570425,one_at_a_time,ai_reviews,one_at_a_time::y1::4::gpt-5.5::002,unclosed JSON object
2026-07-09T23:25:37.822104,one_at_a_time,ai_reviews,one_at_a_time::y1::4::gpt-5.5::004,unclosed JSON object
2026-07-09T23:25:48.794812,one_at_a_time,ai_reviews,one_at_a_time::y1::4::gpt-5.5::005,unclosed JSON object
2026-07-09T23:26:31.320120,one_at_a_time,ai_reviews,one_at_a_time::y1::5::claude-sonnet-5::004,unclosed JSON object
2026-07-09T23:28:01.339590,one_at_a_time,ai_reviews,one_at_a_time::y1::5::gpt-5.5::003,unclosed JSON object
2026-07-09T23:28:11.766118,one_at_a_time,ai_reviews,one_at_a_time::y1::5::gpt-5.5::004,unclosed JSON object
2026-07-09T23:30:54.456377,one_at_a_time,ai_reviews,one_at_a_time::y1::6::gpt-5.5::004,unclosed JSON object
2026-07-09T23:33:56.387193,one_at_a_time,ai_reviews,one_at_a_time::y1::8::claude-sonnet-5::003,unclosed JSON object
2026-07-09T23:35:58.141838,one_at_a_time,ai_reviews,one_at_a_time::y1::8::gpt-5.5::005,unclosed JSON object
2026-07-09T23:36:07.682513,one_at_a_time,ai_reviews,one_at_a_time::y1::9::claude-sonnet-5::001,unclosed JSON object
2026-07-09T23:37:14.921750,one_at_a_time,ai_reviews,one_at_a_time::y1::9::gemini-3.1-pro-preview::004,unclosed JSON object
2026-07-09T23:44:04.717244,one_at_a_time,ai_reviews,one_at_a_time::y2::11::claude-sonnet-5::002,unclosed JSON object
2026-07-09T23:44:58.540770,one_at_a_time,ai_reviews,one_at_a_time::y2::11::gemini-3.1-pro-preview::002,unclosed JSON object
2026-07-09T23:45:18.207978,one_at_a_time,ai_reviews,one_at_a_time::y2::11::gemini-3.1-pro-preview::004,unclosed JSON object
2026-07-09T23:45:27.569702,one_at_a_time,ai_reviews,one_at_a_time::y2::11::gemini-3.1-pro-preview::005,unclosed JSON object
2026-07-09T23:46:13.371237,one_at_a_time,ai_reviews,one_at_a_time::y2::11::gpt-5.5::004,unclosed JSON object
2026-07-09T23:46:24.219713,one_at_a_time,ai_reviews,one_at_a_time::y2::11::gpt-5.5::005,unclosed JSON object
2026-07-09T23:48:02.046073,one_at_a_time,ai_reviews,one_at_a_time::y2::2::gemini-3.1-pro-preview::004,unclosed JSON object
2026-07-09T23:49:31.014705,one_at_a_time,ai_reviews,one_at_a_time::y2::3::claude-sonnet-5::002,unclosed JSON object
2026-07-09T23:51:01.111290,one_at_a_time,ai_reviews,one_at_a_time::y2::3::gpt-5.5::002,unclosed JSON object
2026-07-09T23:53:14.518985,one_at_a_time,ai_reviews,one_at_a_time::y2::4::gemini-3.1-pro-preview::004,unclosed JSON object
2026-07-09T23:53:36.965767,one_at_a_time,ai_reviews,one_at_a_time::y2::4::gpt-5.5::001,unclosed JSON object
2026-07-09T23:54:00.427891,one_at_a_time,ai_reviews,one_at_a_time::y2::4::gpt-5.5::003,unclosed JSON object
2026-07-09T23:55:07.785608,one_at_a_time,ai_reviews,one_at_a_time::y2::5::claude-sonnet-5::004,unclosed JSON object
2026-07-09T23:56:10.495766,one_at_a_time,ai_reviews,one_at_a_time::y2::5::gemini-3.1-pro-preview::005,unclosed JSON object
2026-07-09T23:58:32.052722,one_at_a_time,ai_reviews,one_at_a_time::y2::6::gemini-3.1-pro-preview::003,unclosed JSON object
2026-07-09T23:59:37.905351,one_at_a_time,ai_reviews,one_at_a_time::y2::6::gpt-5.5::005,unclosed JSON object
2026-07-10T00:01:07.429567,one_at_a_time,ai_reviews,one_at_a_time::y2::7::gemini-3.1-pro-preview::003,unclosed JSON object
2026-07-10T00:02:17.384947,one_at_a_time,ai_reviews,one_at_a_time::y2::7::gpt-5.5::004,unclosed JSON object
2026-07-10T00:02:29.082738,one_at_a_time,ai_reviews,one_at_a_time::y2::7::gpt-5.5::005,unclosed JSON object
2026-07-10T00:02:59.765871,one_at_a_time,ai_reviews,one_at_a_time::y2::8::claude-sonnet-5::003,unclosed JSON object
2026-07-10T00:03:54.153225,one_at_a_time,ai_reviews,one_at_a_time::y2::8::gemini-3.1-pro-preview::003,unclosed JSON object
2026-07-10T00:04:46.793522,one_at_a_time,ai_reviews,one_at_a_time::y2::8::gpt-5.5::003,unclosed JSON object
2026-07-10T00:05:09.647715,one_at_a_time,ai_reviews,one_at_a_time::y2::8::gpt-5.5::005,unclosed JSON object
2026-07-10T00:05:39.792571,one_at_a_time,ai_reviews,one_at_a_time::y2::9::claude-sonnet-5::003,unclosed JSON object
2026-07-10T00:06:30.818380,one_at_a_time,ai_reviews,one_at_a_time::y2::9::gemini-3.1-pro-preview::003,unclosed JSON object
