condition,text_branch,field,comparison,metric,param,target_proposal_uid,target_cohort,n_human_reviews,human_value,ai_value,paired_diff
persona,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::1,,4,1.1555645892362856,1.1543266131592775,0.0012379760770080406
persona,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::10,,4,1.1768583248955746,1.1805184889396028,-0.0036601640440281358
persona,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::11,,4,1.199651220931882,1.1468702731364913,0.052780947795390665
persona,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::12,,4,1.2075244618198686,1.1397701171259895,0.06775434469387909
persona,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::2,,3,1.1653140265200586,1.1182350587752055,0.047078967744853095
persona,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::3,,4,1.2103578488012552,1.154935806230724,0.05542204257053118
persona,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::4,,4,1.1398497925619189,1.1534518414576889,-0.013602048895769991
persona,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::5,,4,1.2144128879044738,1.1507518449184093,0.06366104298606445
persona,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::6,,4,1.163541450699004,1.1671107032554071,-0.0035692525564030575
persona,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::7,,4,1.185209671780815,1.142931917918143,0.04227775386267196
persona,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::8,,5,1.2567356689949196,1.1691761389778237,0.08755953001709593
persona,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::9,,3,1.197868455862441,1.1211933371107556,0.07667511875168542
persona,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y2::1,,3,1.1584255202332898,1.1238874778540824,0.034538042379207434
persona,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y2::10,,3,1.2135343857006087,1.1234881015922091,0.09004628410839954
persona,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y2::11,,4,1.1852696293201854,1.154780894748956,0.03048873457122947
